OBJECTID,GEO.id,acs_mi
446,1400000US51059491701,93239
447,1400000US51059491702,82060
448,1400000US51059491704,90000
449,1400000US51059491705,160043
450,1400000US51059491802,111031
451,1400000US51059491803,89639
452,1400000US51059492000,181833
453,1400000US51059492100,185000
454,1400000US51059492201,223032
455,1400000US51059492203,194659
456,1400000US51059492300,116591
457,1400000US51059492400,88269
458,1400000US51059492500,173854
459,1400000US51059980200,-
460,1400000US51059980300,-
461,1400000US51013100200,170185
462,1400000US51013100300,193036
463,1400000US51013100500,174792
464,1400000US51013100600,103393
465,1400000US51013100700,105089
466,1400000US51013100900,100476
467,1400000US51013101000,134630
468,1400000US51013101100,140417
469,1400000US51013101200,149271
470,1400000US51013101300,138558
471,1400000US51013101402,121636
472,1400000US51013101403,99595
473,1400000US51013101404,102819
474,1400000US51013101500,102205
475,1400000US51013101601,102159
476,1400000US51013101603,96941
477,1400000US51013101701,89412
478,1400000US51013101702,66974
479,1400000US51013101801,109676
480,1400000US51013101802,102169
481,1400000US51013101803,71963
482,1400000US51013102001,46688
483,1400000US51013102002,60956
484,1400000US51013102003,41392
485,1400000US51013102100,97115
486,1400000US51013102200,45581
487,1400000US51013102302,87381
488,1400000US51013102400,76836
489,1400000US51013102500,83322
490,1400000US51013102600,80161
491,1400000US51013102701,49412
492,1400000US51013102801,60881
493,1400000US51013102802,130987
494,1400000US51013102901,101012
495,1400000US51013103000,109673
496,1400000US51013103100,75700
497,1400000US51013103200,71451
498,1400000US51013103300,58173
499,1400000US51013103401,112563
500,1400000US51013103501,82183
501,1400000US51013103502,87038
502,1400000US51013103503,85361
503,1400000US51013103601,116184
504,1400000US51013103700,163889
505,1400000US51013103800,75179
506,1400000US51013980100,-
507,1400000US51013980200,67361
508,1400000US51059491103,94538
509,1400000US51510201300,96250
510,1400000US51510201400,99531
511,1400000US51510201500,145515
512,1400000US51510201801,103727
513,1400000US51510201802,137396
514,1400000US51510201900,104000
515,1400000US51510202002,89801
516,1400000US51510200102,70000
517,1400000US51510200104,62845
518,1400000US51510200105,47022
519,1400000US51510200106,76848
520,1400000US51510200201,74800
521,1400000US51510200202,146944
522,1400000US51510200302,99539
523,1400000US51510200303,59383
524,1400000US51510200403,106711
525,1400000US51510200404,137240
526,1400000US51510200406,58182
527,1400000US51510200407,64038
528,1400000US51510200703,96354
529,1400000US51510200801,132760
530,1400000US51510200802,86726
531,1400000US51510201000,79437
532,1400000US51510201100,130350
533,1400000US51510201202,89147
534,1400000US51510201203,44264
535,,
536,,
537,,
538,,
539,1400000US51610500100,135361
540,1400000US51610500200,92188
541,1400000US51059420400,61809
542,1400000US51059482002,109750
543,1400000US24031700105,101015
544,1400000US24031700304,99353
545,1400000US24031700607,143872
546,1400000US24031700611,152552
547,1400000US24031700710,90029
548,1400000US24031700718,110262
549,1400000US24031700723,50517
550,1400000US24031700815,77167
551,1400000US24031700820,71979
552,1400000US24031700824,151515
553,1400000US24033803001,69621
554,1400000US24033803002,63875
555,1400000US24033803100,55582
556,1400000US24033803200,51303
557,1400000US24033803512,82611
558,1400000US24033803519,67652
559,1400000US24033803525,50571
560,1400000US24033803613,51435
561,1400000US24033804001,39028
562,1400000US24033804400,51750
563,1400000US24033804900,41696
564,1400000US24033805601,45581
565,1400000US24033805904,56750
566,1400000US24033806200,65581
567,1400000US24033806602,65154
568,1400000US24033806712,70422
569,1400000US24033807304,83163
570,1400000US24031700826,111601
571,1400000US24031700828,139231
572,1400000US24031700829,120229
573,1400000US24031700830,65000
574,1400000US24031700901,58911
575,1400000US24031701002,193393
576,1400000US24031701102,79701
577,1400000US24031701210,164688
578,1400000US24031701215,84841
579,1400000US24031701304,112364
580,1400000US24031701313,111429
581,1400000US24031701409,144132
582,1400000US24031701422,43333
583,1400000US24031701508,44517
584,1400000US24031701601,44329
585,1400000US24031701900,55104
586,1400000US24031702102,114318
587,1400000US24031702500,57067
588,1400000US24031703201,98641
589,1400000US24031703209,52555
590,1400000US24031703218,53083
591,1400000US24031703301,78182
592,1400000US24031703402,83403
593,1400000US24031703602,109766
594,1400000US24031703902,63698
595,1400000US24031704403,75242
596,1400000US24031704804,112431
597,1400000US24031705300,"250,000+"
598,1400000US24031705601,177750
599,1400000US24031705602,76995
600,1400000US24031705701,131500
601,1400000US24031705901,186513
602,1400000US24031706011,185066
603,1400000US24033800106,92031
604,1400000US24033800209,48464
605,1400000US24033800214,60833
606,1400000US24033800408,119063
607,1400000US24033800413,69135
608,1400000US24033800514,164518
609,1400000US24033800519,132986
610,1400000US24033800704,90271
611,1400000US24033801005,113750
612,1400000US24033801006,112689
613,1400000US24033801209,93108
614,1400000US24033801216,86797
615,1400000US24033801308,108446
616,1400000US24033801313,106635
617,1400000US24033801409,65919
618,1400000US24033801702,49403
619,1400000US24033801801,56047
620,1400000US24033801805,49583
621,1400000US24033802104,51542
622,1400000US24033802203,54393
623,1400000US24033802406,64531
624,1400000US24033802600,49336
625,1400000US24031700308,93201
626,1400000US24031700309,77215
627,1400000US24031700310,77681
628,1400000US24031700311,126970
629,1400000US24031700312,123113
630,1400000US24031700400,149779
631,1400000US24031700500,105481
632,1400000US24031700604,165893
633,1400000US24031700606,136367
634,1400000US24031700608,200952
635,1400000US24031700610,131053
636,1400000US24031700613,130268
637,1400000US24031700614,71563
638,1400000US24031700615,157031
639,1400000US24031700616,137542
640,1400000US24031700704,68523
641,1400000US24031700706,55720
642,1400000US24031700711,94861
643,1400000US24031700713,53431
644,1400000US24031700715,93990
645,1400000US24031700716,82917
646,1400000US24031700717,65029
647,1400000US24031700719,62303
648,1400000US24031700720,85705
649,1400000US24031700721,58109
650,1400000US24031700722,76971
651,1400000US24031700724,47210
652,1400000US24031700810,96462
653,1400000US24031700811,90395
654,1400000US24031700812,87614
655,1400000US24031700101,156964
656,1400000US24031700103,169881
657,1400000US24031700104,115536
658,1400000US24031700204,86250
659,1400000US24031700205,133942
660,1400000US24031700206,115323
661,1400000US24031700207,92966
662,1400000US24031700208,112396
663,1400000US24031700306,100461
664,1400000US24031700813,66801
665,1400000US24031700816,69147
666,1400000US24031700817,81011
667,1400000US24031700818,63003
668,1400000US24031700819,88636
669,1400000US24031700822,61557
670,1400000US24031700823,108904
671,1400000US24033803300,61635
672,1400000US24033803401,49375
673,1400000US24033803402,54680
674,1400000US24033803508,39864
675,1400000US24033803509,46333
676,1400000US24033803513,63939
677,1400000US24033803514,77284
678,1400000US24033803516,96929
679,1400000US24033806711,66944
680,1400000US24033806713,43646
681,1400000US24033806714,54816
682,1400000US24033806800,95450
683,1400000US24033806900,68958
684,1400000US24033807000,60714
685,1400000US24033807102,71528
686,1400000US24033807200,18441
687,1400000US24033807301,63194
688,1400000US24033807305,68214
689,1400000US24033807404,80129
690,1400000US24033807407,77593
691,1400000US24033807408,80386
692,1400000US24033807409,72551
693,1400000US24033807410,52292
694,1400000US24033803520,125909
695,1400000US24033803521,104271
696,1400000US24033803522,88750
697,1400000US24033803523,131250
698,1400000US24033803524,70878
699,1400000US24033803526,91719
700,1400000US24033803527,93125
701,1400000US24033803601,88397
702,1400000US24033803602,63214
703,1400000US24033803605,75000
704,1400000US24033803606,70446
705,1400000US24033803608,73068
706,1400000US24033803610,56071
