GEO.id,dem_acs,emp_acs,edu_acs,hsv_acs,ten_acs,pov_acs,ssh_acs
0,1.577811084,1.078401975,1.887681751,,2.555177023,0.889292811,0.586414356
0,1.324006286,1.078401975,1.887681751,,-0.653614078,0.889292811,0.586414356
0,1.060662254,1.078401975,1.887681751,,0.152462527,0.889292811,0.586414356
0,1.397899782,1.078401975,1.887681751,,-3.027634187,0.889292811,0.586414356
0,0.946761006,1.078401975,1.887681751,,-0.907730249,0.889292811,0.586414356
0,0.791643506,1.078401975,1.887681751,,-0.668795966,0.889292811,0.586414356
0,1.080506059,1.078401975,1.887681751,,-0.486137304,0.889292811,0.586414356
0,0.906872949,1.078401975,1.887681751,,-2.003816166,0.889292811,0.586414356
0,0.906250826,1.078401975,1.887681751,,-3.50757694,0.889292811,0.586414356
0,1.133896811,1.078401975,1.887681751,,0.529297525,0.889292811,0.586414356
0,1.030546987,1.078401975,1.887681751,,1.083970767,0.889292811,0.586414356
0,1.108480329,1.078401975,1.887681751,,1.569095763,0.889292811,0.586414356
0,1.22099856,1.078401975,1.887681751,,1.791002795,0.889292811,0.586414356
0,1.47363763,1.078401975,1.887681751,,0.095647375,0.889292811,0.586414356
0,1.613609728,1.078401975,1.887681751,,-0.549684483,0.889292811,0.586414356
0,1.25238454,1.078401975,1.887681751,,-1.439359697,0.889292811,0.586414356
0,1.263133342,1.078401975,1.887681751,,-3.060657786,0.889292811,0.586414356
0,1.318982522,1.078401975,1.887681751,,2.140506608,0.889292811,0.586414356
0,0.859080389,1.078401975,1.887681751,,-2.072114764,0.889292811,0.586414356
0,0.734068755,1.078401975,1.887681751,,0.881579955,0.889292811,0.586414356
0,0.964927522,1.078401975,1.887681751,,1.00634046,0.889292811,0.586414356
0,0.902853296,1.078401975,1.887681751,,1.097698945,0.889292811,0.586414356
0,1.345572712,1.078401975,1.887681751,,0.530804508,0.889292811,0.586414356
0,0.897104477,1.078401975,1.887681751,,0.947255189,0.889292811,0.586414356
0,0.906702568,1.078401975,1.887681751,,0.939717436,0.889292811,0.586414356
0,0.74818474,1.078401975,1.887681751,,-2.057164064,0.889292811,0.586414356
0,0.815622166,1.078401975,1.887681751,,-0.044518792,0.889292811,0.586414356
0,1.084054492,1.078401975,1.887681751,,0.477458725,0.889292811,0.586414356
0,1.116163274,1.078401975,1.887681751,,0.952278122,0.889292811,0.586414356
0,1.129429672,1.078401975,1.887681751,,0.880472621,0.889292811,0.586414356
0,0.984884675,1.078401975,1.887681751,,-1.018702743,0.889292811,0.586414356
0,0.92101836,1.078401975,1.887681751,,0.260982793,0.889292811,0.586414356
0,0.714153012,1.078401975,1.887681751,,-0.870692928,0.889292811,0.586414356
0,0.898947189,1.078401975,1.887681751,,-1.801505281,0.889292811,0.586414356
0,1.112603992,1.078401975,1.887681751,,-1.406234172,0.889292811,0.586414356
0,1.239700241,1.078401975,1.887681751,,0.564567896,0.889292811,0.586414356
0,1.037607872,1.078401975,1.887681751,,1.28497529,0.889292811,0.586414356
0,1.23746781,1.078401975,1.887681751,,0.187377733,0.889292811,0.586414356
0,0.963165966,1.078401975,1.887681751,,1.115954178,0.889292811,0.586414356
0,1.364155636,1.078401975,1.887681751,,2.740290637,0.889292811,0.586414356
0,0.956054864,1.078401975,1.887681751,,0.169566238,0.889292811,0.586414356
0,1.111153871,1.078401975,1.887681751,,2.10644222,0.889292811,0.586414356
0,1.323346844,1.078401975,1.887681751,,0.175915105,0.889292811,0.586414356
0,1.278703789,1.078401975,1.887681751,,0.721034531,0.889292811,0.586414356
0,0.900922052,1.078401975,1.887681751,,0.962216586,0.889292811,0.586414356
0,1.462770453,1.078401975,1.887681751,,1.072172738,0.889292811,0.586414356
0,1.440549298,1.078401975,1.887681751,,1.600075516,0.889292811,0.586414356
0,1.111453388,1.078401975,1.887681751,,1.149843409,0.889292811,0.586414356
