GEO_ID,AREA,HC01_VC02,HC02_VC02,HC03_VC02,HC01_VC03,HC02_VC03,HC03_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC01_VC05,HC02_VC05,HC03_VC05,HC01_VC06,HC02_VC06,HC03_VC06,HC01_VC35,HC02_VC35,HC03_VC35,HC01_VC40,HC02_VC40,HC03_VC40,HC01_VC36,HC02_VC36,HC03_VC36,HC01_VC41,HC02_VC41,HC03_VC41,HC01_VC37,HC02_VC37,HC03_VC37,HC01_VC42,HC02_VC42,HC03_VC42,HC01_VC38,HC02_VC38_x,HC03_VC38_x,HC01_VC43,HC02_VC38_y,HC03_VC38_y
1400000US11001005201,3.22E-05,484,240,244,11,11,0,94,45,49,75,40,35,304,144,160,88.3,91.6,83.3,73.5,75.4,70.7,84.3,92.7,67.6,63,70.7,47.7,89.5,92,85.5,55.3,51.1,62,66.3,77.9,60,23.2,77.9,60
1400000US11001000201,5.22E-05,4284,2087,2197,0,0,0,266,130,136,3993,1957,2036,25,0,25,100,100,0,100,100,0,100,0,100,100,0,100,100,0,100,40.5,0,40.5,64.8,0,64.8,33.8,0,64.8
1400000US11001008600,7.29E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,30,30,0,32.3,16,100,12.9,16,0,50,100,0,50,100,0
1400000US11001007806,7.44E-05,145,46,99,29,21,8,79,25,54,37,0,37,0,0,0,84.3,82.1,86.8,1.8,3.4,0,82.6,79.3,86.6,16.6,13.1,20.7,73.6,65.7,80.9,4.4,0,8.5,62.7,64.3,61.3,15.5,64.3,61.3
1400000US11001005302,3.02E-05,33,12,21,0,0,0,0,0,0,0,0,0,33,12,21,100,100,100,100,100,100,100,100,100,80,75,100,85.7,78.3,100,85.7,78.3,100,79.3,100,60,69,100,60
1400000US11001005401,3.34E-05,540,256,284,0,0,0,38,28,10,302,138,164,200,90,110,100,100,100,97.6,100,96.5,94.1,90.4,100,63.4,51.1,83.1,98.7,97.7,100,85.6,90.4,79.4,93.9,79.2,100,75.6,79.2,100
1400000US11001005402,2.80E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US11001009602,0.00014625,329,124,205,99,70,29,135,41,94,95,13,82,0,0,0,77.3,69.7,80.7,10,6.5,11.5,71.5,72.4,71.1,5.4,0,8.1,63.7,60,65.6,13.4,28.3,5.5,24.2,0,36,4.8,0,36
1400000US11001004902,2.76E-05,411,216,195,178,115,63,99,37,62,89,41,48,45,23,22,73.2,68.1,80,30.6,35.1,24.4,74.8,73.3,77.1,19.1,18.1,20.7,65.8,74.7,57.3,20.4,28.4,12.9,51.9,40.9,59.7,11.3,40.9,59.7
1400000US11001004802,2.91E-05,322,140,182,131,81,50,92,47,45,52,12,40,47,0,47,82.6,74.8,90.5,19.4,14.5,24.2,69.5,67.9,70.8,11.4,22.2,2.6,65.7,64.6,66.8,10,17.9,2.7,35.3,20.4,43.2,7.8,20.4,43.2
1400000US11001008500,5.29E-05,372,202,170,111,88,23,111,79,32,96,35,61,54,0,54,77.3,69.9,84.3,26.3,33,20,78.6,73,84.3,12.4,14.1,10.6,65.8,63.2,68.5,16.1,18.1,14,46,54.9,41.4,10.4,54.9,41.4
