GEO_ID_2,HC03_EST_VC52,HC03_EST_VC29,HC02_EST_VC31
1400000US11001010400,(X),36.7,38
1400000US11001010600,(X),8.1,123
1400000US11001010700,(X),0.0,117
1400000US11001010900,(X),44.6,32
1400000US11001011000,(X),0.0,106
1400000US11001011100,(X),16.1,35
1400000US11001001902,(X),14.3,0
1400000US11001008100,(X),9.7,39
1400000US11001000801,(X),32.6,133
1400000US51059415100,(X),0.0,39
1400000US51059415401,(X),0.0,58
1400000US51059416000,(X),23.3,0
1400000US51059420100,(X),19.7,60
1400000US51059420800,(X),0.4,11
1400000US51059421200,(X),0.0,13
1400000US51059421600,(X),9.7,13
1400000US51059421800,(X),6.8,43
1400000US51059422301,(X),0.0,10
1400000US51059422401,(X),0.0,34
1400000US51059430203,(X),1.0,44
1400000US51059430500,(X),15.8,0
1400000US51059430901,(X),0.0,22
1400000US51059431801,(X),4.3,0
1400000US51059431900,(X),6.8,0
1400000US51059432300,(X),0.0,6
1400000US51059432702,(X),2.3,25
1400000US51059440600,(X),1.7,19
1400000US51059450200,(X),10.9,16
1400000US51059450500,(X),12.0,21
1400000US51059450702,(X),4.1,0
1400000US51059451300,(X),0.0,0
1400000US51059451900,(X),0.0,17
1400000US51059452102,(X),24.2,102
1400000US51059452502,(X),17.8,95
1400000US51059452802,(X),18.1,42
1400000US51059460200,(X),11.3,7
1400000US51059460300,(X),0.0,34
1400000US51059460600,(X),0.0,0
1400000US51059461000,(X),12.2,7
1400000US51059461601,(X),0.0,55
1400000US51059461901,(X),20.6,55
1400000US51059470600,(X),14.3,79
1400000US51059471000,(X),0.0,0
1400000US51059471303,(X),16.6,64
1400000US51059480202,(X),0.0,42
1400000US51059480501,(X),0.0,11
1400000US51059480802,(X),0.0,98
1400000US51059481000,(X),1.7,0
1400000US51059481104,(X),13.8,0
1400000US51059481701,(X),0.0,13
1400000US51059482301,(X),0.0,4
1400000US51059482502,(X),7.0,0
1400000US51059490501,(X),30.2,97
1400000US51059491202,(X),70.2,0
1400000US51059491401,(X),2.4,54
1400000US51059491501,(X),2.1,40
1400000US51059491703,(X),7.6,151
1400000US51059491801,(X),11.5,119
1400000US51059492202,(X),1.9,14
1400000US51059980100,(X),-,0
1400000US51013100100,(X),5.1,31
1400000US51013100400,(X),7.4,0
1400000US51013100800,(X),0.0,0
1400000US51013101401,(X),0.0,47
1400000US51013101602,(X),0.0,38
1400000US51013101703,(X),0.0,51
1400000US51013101900,(X),21.4,28
1400000US51013102301,(X),0.0,39
1400000US51013102702,(X),0.0,0
1400000US51013102902,(X),0.0,111
1400000US51013103402,(X),27.3,72
1400000US51013103602,(X),21.9,28
1400000US51510200103,(X),4.8,91
1400000US51510200107,(X),26.1,200
1400000US51510200301,(X),0.0,20
1400000US51510200405,(X),9.0,312
1400000US51510200500,(X),21.5,96
1400000US51510200600,(X),7.8,39
1400000US51510200701,(X),28.6,38
1400000US51510200702,(X),9.0,71
1400000US51510200900,(X),5.7,34
1400000US51510201204,(X),2.5,22
1400000US51510201600,(X),32.3,32
1400000US51510202001,(X),0.0,19
1400000US51600300300,,,
1400000US51610500300,(X),0.0,26
1400000US51059415200,(X),0.0,100
1400000US51059415300,(X),12.3,0
1400000US51059415402,(X),9.8,0
1400000US51059415500,(X),21.4,25
1400000US51059415600,(X),0.8,14
1400000US51059415700,(X),0.0,0
1400000US51059415800,(X),0.0,16
1400000US51059415900,(X),19.6,8
1400000US51059416100,(X),4.0,12
1400000US51059416200,(X),8.3,14
1400000US51059416300,(X),12.8,34
1400000US51059420201,(X),5.9,13
1400000US51059420202,(X),21.1,0
1400000US51059420203,(X),16.7,27
1400000US51059420300,(X),3.2,0
1400000US51059420501,(X),28.4,69
1400000US51059420502,(X),0.0,83
1400000US51059420503,(X),6.7,57
1400000US51059420600,(X),2.5,30
1400000US51059420700,(X),1.7,23
1400000US51059421001,(X),0.0,36
1400000US51059421002,(X),6.6,27
1400000US51059421101,(X),0.0,20
1400000US51059421102,(X),9.4,42
1400000US51059421103,(X),0.0,26
1400000US51059421300,(X),7.3,7
1400000US51059421400,(X),15.0,61
1400000US51059421500,(X),22.7,45
1400000US51059421701,(X),7.0,6
1400000US51059421702,(X),0.0,0
1400000US51059421900,(X),25.6,37
1400000US51059422000,(X),12.5,14
1400000US51059422101,(X),1.4,101
1400000US51059422102,(X),18.2,39
1400000US51059422201,(X),0.0,16
1400000US51059422202,(X),1.4,13
1400000US51059422302,(X),10.6,0
