OBJECTID,GEO.id,dec_mi
805,1400000US24031701407,104215
806,1400000US24031702200,79014
807,1400000US24031702301,43208
808,1400000US24031702302,57770
809,1400000US24031702401,70372
810,1400000US24031702402,41037
811,1400000US24031702601,44351
812,1400000US24031702602,48930
813,1400000US24031702700,55379
814,1400000US24031702800,57171
815,1400000US24031702900,82457
816,1400000US24031703000,72500
817,1400000US24031703100,63808
818,1400000US24031703202,85964
819,1400000US24031703206,69821
820,1400000US24031703207,56719
821,1400000US24031703208,91841
822,1400000US24031703210,70647
823,1400000US24031703212,76106
824,1400000US24031703213,41796
825,1400000US24031703214,42240
826,1400000US24031703215,59172
827,,
828,,
829,,
830,,
831,1400000US24031703302,59306
832,1400000US24031703401,56773
833,1400000US24031703403,59952
834,1400000US24031703404,58125
835,1400000US24031703501,45796
836,1400000US24031703502,60893
837,1400000US24031703601,68652
838,1400000US24031703701,60227
839,1400000US24031703702,60395
840,1400000US24031703800,46992
841,1400000US24031703901,73911
842,1400000US24031704000,53186
843,1400000US24031704100,114602
844,1400000US24031704200,76716
845,1400000US24031704300,97025
846,1400000US24031704401,96980
847,,
848,1400000US24031704501,90562
849,1400000US24031704503,109765
850,1400000US24031704600,92754
851,1400000US24031704700,156565
852,,
853,,
854,,
855,1400000US24031705000,83179
856,1400000US24031705100,112224
857,1400000US24031705200,156623
858,1400000US24031705400,160331
859,,
860,,
861,1400000US24031705702,130972
862,1400000US24031705800,124487
863,1400000US24031705902,145278
864,1400000US24031705903,131798
865,1400000US24031706005,172620
866,1400000US24031706007,155373
867,1400000US24031706008,"200,000+"
868,1400000US24031706009,161535
869,,
870,,
871,,
872,1400000US24033800102,37094
873,1400000US24033800103,35979
874,1400000US24033800105,59152
875,,
876,,
877,1400000US24033800203,83663
878,1400000US24033800206,57578
879,1400000US24033800208,76607
880,1400000US24033800210,44522
881,1400000US24033800211,42391
882,,
883,,
884,,
885,1400000US24033800401,77591
886,1400000US24033800402,74174
887,1400000US24033800403,74013
888,1400000US24033800409,90335
889,,
890,,
891,,
892,1400000US24033800504,73798
893,1400000US24033800505,72148
894,1400000US24033800507,76721
895,1400000US24033800509,92078
896,1400000US24033800511,74884
897,,
898,,
899,,
900,,
901,,
902,,
903,1400000US24033800601,69792
904,1400000US24033800604,72823
905,1400000US24033800605,73015
906,1400000US24033800606,57868
907,,
908,,
909,1400000US24033800701,83827
910,,
911,,
912,,
913,1400000US24033800800,76255
914,1400000US24033800900,63365
915,,
916,,
917,1400000US24033801104,44310
918,1400000US24033801207,72684
919,,
920,,
921,,
922,,
923,,
924,,
925,,
926,,
927,1400000US24033801302,74609
928,1400000US24033801305,80644
929,1400000US24033801307,98698
930,1400000US24033801309,99246
931,,
932,,
933,,
934,1400000US24033801404,55650
935,1400000US24033801405,47250
936,1400000US24033801406,56411
937,1400000US24033801407,65365
938,,
939,,
940,,
941,1400000US24033801500,58257
942,1400000US24033801600,38438
943,1400000US24033801701,49493
944,1400000US24033801704,35976
945,1400000US24033801706,48477
946,1400000US24033801707,42639
947,1400000US24033801708,41523
948,1400000US24033801802,44727
949,1400000US24033801804,67120
950,1400000US24033801807,43854
951,1400000US24033801808,46221
952,1400000US24033801901,74158
953,1400000US24033801904,51366
954,1400000US24033801905,63170
955,1400000US24033801906,49071
956,,
957,1400000US24033802001,41145
958,1400000US24033802002,52052
959,1400000US24033802103,59967
960,,
961,,
962,1400000US24033802201,50254
963,1400000US24033802204,66712
964,1400000US24033802301,62642
965,1400000US24033802404,37638
966,1400000US24033802405,44323
967,,
968,,
969,1400000US24033802501,40346
970,1400000US24033802502,36618
971,1400000US24033802700,38958
972,1400000US24033802803,45944
973,1400000US24033802804,51386
974,1400000US24033802805,49068
975,1400000US24033802901,41985
