OBJECTID,GEO.id,dec_ma,dec_tp,dec_mp,dec_mpp,dec_fp,dec_fpp,dec_aap,dec_aapp,acs_ma,acs_tp,acs_mp,acs_mpp,acs_fp,acs_fpp,acs_aap,acs_aapp
98,1400000US11001002002,39.4,3781,1782,47.1,1999,52.9,2785,73.7,43.9,3604,1530,42.5,2074,57.5,2135,59.2
99,1400000US11001002101,36.2,5233,2504,47.9,2729,52.1,4241,81.0,36.2,4735,2299,48.6,2436,51.4,3016,63.7
100,1400000US11001002102,41.2,4631,2094,45.2,2537,54.8,4162,89.9,39.2,4331,1686,38.9,2645,61.1,3209,74.1
101,1400000US11001002202,39.0,3013,1316,43.7,1697,56.3,2702,89.7,41.1,2930,1279,43.7,1651,56.3,2411,82.3
102,1400000US11001002301,40.4,2995,1336,44.6,1659,55.4,2639,88.1,40.7,2998,1617,53.9,1381,46.1,2357,78.6
103,1400000US11001002302,31.8,1345,582,43.3,763,56.7,848,63.0,55.8,1945,1266,65.1,679,34.9,1218,62.6
104,1400000US11001002400,39.4,3580,1736,48.5,1844,51.5,2966,82.8,39.6,3771,1990,52.8,1781,47.2,2839,75.3
105,1400000US11001002502,32.7,5486,2765,50.4,2721,49.6,3087,56.3,34.6,4872,2330,47.8,2542,52.2,2104,43.2
106,1400000US11001002600,46.6,2184,994,45.5,1190,54.5,1344,61.5,48.6,2276,1032,45.3,1244,54.7,858,37.7
107,1400000US11001002701,32.2,5742,2914,50.7,2828,49.3,1737,30.3,32.2,5414,2853,52.7,2561,47.3,1114,20.6
108,1400000US11001002702,32.6,6052,3298,54.5,2754,45.5,1214,20.1,34.0,5103,2544,49.9,2559,50.1,819,16.0
109,1400000US11001002802,30.7,4700,2497,53.1,2203,46.9,1524,32.4,31.0,3999,2003,50.1,1996,49.9,1309,32.7
110,1400000US11001003000,29.3,2829,1383,48.9,1446,51.1,1930,68.2,30.8,3029,1385,45.7,1644,54.3,1488,49.1
111,1400000US11001003100,32.6,2755,1353,49.1,1402,50.9,1839,66.8,31.3,2878,1658,57.6,1220,42.4,1126,39.1
112,1400000US11001003200,35.4,4480,2138,47.7,2342,52.3,3676,82.1,34.1,4473,2035,45.5,2438,54.5,2698,60.3
113,1400000US11001003302,37.7,1830,903,49.3,927,50.7,1675,91.5,33.6,2198,1139,51.8,1059,48.2,1347,61.3
114,1400000US11001003400,21.2,4249,1874,44.1,2375,55.9,3903,91.9,20.3,4832,1803,37.3,3029,62.7,3837,79.4
115,1400000US11001003500,22.8,3498,1553,44.4,1945,55.6,2936,83.9,29.1,2518,1425,56.6,1093,43.4,1748,69.4
116,1400000US11001003700,26.5,4990,2380,47.7,2610,52.3,2839,56.9,27.7,5119,2246,43.9,2873,56.1,2795,54.6
117,1400000US11001003800,32.5,4718,2551,54.1,2167,45.9,1511,32.0,35.1,4074,2412,59.2,1662,40.8,926,22.7
118,1400000US11001003900,32.6,4643,2340,50.4,2303,49.6,916,19.7,34.8,4476,2186,48.8,2290,51.2,797,17.8
119,1400000US11001004001,35.5,3474,1750,50.4,1724,49.6,182,5.2,37.8,3250,1647,50.7,1603,49.3,41,1.3
120,1400000US11001004100,42.8,2570,1238,48.2,1332,51.8,98,3.8,42.7,2708,1281,47.3,1427,52.7,52,1.9
121,1400000US11001004201,32.1,3392,1935,57.0,1457,43.0,482,14.2,31.3,3536,2037,57.6,1499,42.4,420,11.9
122,1400000US11001004300,33.0,3290,1765,53.6,1525,46.4,1283,39.0,35.6,2864,1400,48.9,1464,51.1,803,28.0
123,1400000US11001004400,33.6,2589,1398,54.0,1191,46.0,1523,58.8,33.2,4478,2300,51.4,2178,48.6,1324,29.6
124,1400000US11001004600,33.1,2997,1483,49.5,1514,50.5,2713,90.5,35.6,2383,1058,44.4,1325,55.6,1688,70.8
125,1400000US11001004701,,,,,,,,,23.8,3841,1599,41.6,2242,58.4,3387,88.2
126,1400000US11001004801,38.2,1876,1006,53.6,870,46.4,1448,77.2,39.3,1760,847,48.1,913,51.9,876,49.8
127,1400000US11001004802,33.6,2853,1313,46.0,1540,54.0,2172,76.1,34.3,3061,1406,45.9,1655,54.1,1856,60.6
128,1400000US11001004902,28.8,2286,1216,53.2,1070,46.8,1373,60.1,29.9,2625,1451,55.3,1174,44.7,842,32.1
129,1400000US11001005001,,,,,,,,,37.5,1576,1081,68.6,495,31.4,459,29.1
130,1400000US11001005002,,,,,,,,,34.4,5820,3323,57.1,2497,42.9,1184,20.3
131,1400000US11001005201,33.7,4559,2682,58.8,1877,41.2,1058,23.2,34.5,5203,3069,59.0,2134,41.0,678,13.0
132,1400000US11001005301,32.9,5045,2746,54.4,2299,45.6,356,7.1,35.6,5981,3083,51.5,2898,48.5,945,15.8
133,1400000US11001005500,34.4,4696,2354,50.1,2342,49.9,384,8.2,34.8,6065,3094,51.0,2971,49.0,468,7.7
134,1400000US11001005800,42.7,1470,767,52.2,703,47.8,203,13.8,32.8,2675,1303,48.7,1372,51.3,161,6.0
135,1400000US11001005900,39.6,1856,993,53.5,863,46.5,1522,82.0,35.3,3956,2341,59.2,1615,40.8,1547,39.1
136,1400000US11001006202,47.0,12,5,41.7,7,58.3,5,41.7,-,0,0,-,0,-,0,-
137,1400000US11001006500,34.1,2422,1262,52.1,1160,47.9,232,9.6,33.3,2550,1070,42.0,1480,58.0,80,3.1
138,1400000US11001006600,35.0,1837,926,50.4,911,49.6,87,4.7,34.3,1860,836,44.9,1024,55.1,0,0.0
139,1400000US11001006700,37.1,3543,1811,51.1,1732,48.9,806,22.7,37.7,4032,1948,48.3,2084,51.7,565,14.0
140,1400000US11001006802,39.5,2066,938,45.4,1128,54.6,1755,84.9,37.3,2128,962,45.2,1166,54.8,1262,59.3
141,1400000US11001006804,31.9,2628,2254,85.8,374,14.2,2280,86.8,34.1,2496,2063,82.7,433,17.3,2275,91.1
142,1400000US11001006900,41.1,1854,979,52.8,875,47.2,992,53.5,34.4,2227,1078,48.4,1149,51.6,760,34.1
143,1400000US11001007000,33.3,2132,1232,57.8,900,42.2,496,23.3,33.8,2248,1117,49.7,1131,50.3,253,11.3
144,1400000US11001007200,36.2,1825,816,44.7,1009,55.3,1732,94.9,34.7,1201,554,46.1,647,53.9,683,56.9
145,1400000US11001007301,23.7,5234,2775,53.0,2459,47.0,1572,30.0,24.9,2664,1495,56.1,1169,43.9,561,21.1
146,1400000US11001007304,25.4,4665,1916,41.1,2749,58.9,4564,97.8,29.4,3562,1563,43.9,1999,56.1,3533,99.2
147,1400000US11001007401,20.8,2996,1259,42.0,1737,58.0,2943,98.2,23.6,2242,990,44.2,1252,55.8,2106,93.9
148,1400000US11001007404,18.9,3314,1380,41.6,1934,58.4,3267,98.6,19.0,3322,1406,42.3,1916,57.7,3284,98.9
149,1400000US11001007406,19.0,3227,1321,40.9,1906,59.1,3208,99.4,21.5,3173,1322,41.7,1851,58.3,3173,100.0
150,1400000US11001009301,41.0,3305,1534,46.4,1771,53.6,2373,71.8,41.8,3485,1608,46.1,1877,53.9,2489,71.4
151,1400000US11001009400,45.1,4166,1882,45.2,2284,54.8,3854,92.5,45.3,3982,1775,44.6,2207,55.4,3457,86.8
152,1400000US11001009501,25.4,5264,2524,47.9,2740,52.1,3130,59.5,20.8,6360,3533,55.6,2827,44.4,3377,53.1
153,1400000US11001009503,46.3,3066,1401,45.7,1665,54.3,2663,86.9,51.2,2830,1301,46.0,1529,54.0,2291,81.0
154,1400000US11001009505,47.5,2671,1135,42.5,1536,57.5,2503,93.7,47.2,2677,1094,40.9,1583,59.1,2354,87.9
155,1400000US11001009507,44.8,1533,651,42.5,882,57.5,1484,96.8,46.2,1901,839,44.1,1062,55.9,1729,91.0
156,1400000US11001009508,46.2,2860,1237,43.3,1623,56.7,2732,95.5,46.6,3024,1337,44.2,1687,55.8,2707,89.5
157,1400000US11001009601,28.1,2343,1011,43.1,1332,56.9,2290,97.7,17.9,2927,956,32.7,1971,67.3,2915,99.6
158,1400000US11001009801,21.4,2091,878,42.0,1213,58.0,2051,98.1,19.7,1529,742,48.5,787,51.5,1504,98.4
159,1400000US11001009803,32.8,2236,1033,46.2,1203,53.8,2164,96.8,28.4,2374,994,41.9,1380,58.1,2326,98.0
160,1400000US11001009804,26.8,2566,1122,43.7,1444,56.3,2510,97.8,26.0,2900,1268,43.7,1632,56.3,2722,93.9
161,1400000US11001009810,,,,,,,,,26.2,2328,1033,44.4,1295,55.6,2186,93.9
162,1400000US11001009811,,,,,,,,,25.6,3530,1238,35.1,2292,64.9,3505,99.3
163,1400000US11001009901,49.9,2302,1034,44.9,1268,55.1,2161,93.9,52.4,2017,890,44.1,1127,55.9,1832,90.8
164,1400000US11001009902,42.5,2993,1326,44.3,1667,55.7,2885,96.4,45.7,2773,1117,40.3,1656,59.7,2615,94.3
165,1400000US11001009903,37.1,2081,911,43.8,1170,56.2,2041,98.1,39.2,1384,684,49.4,700,50.6,1363,98.5
166,1400000US11001009905,32.3,2670,1226,45.9,1444,54.1,2631,98.5,33.6,2668,1228,46.0,1440,54.0,2591,97.1
167,1400000US11001009907,25.3,3037,1299,42.8,1738,57.2,2990,98.5,26.8,2587,910,35.2,1677,64.8,2504,96.8
168,1400000US11001010100,,,,,,,,,31.9,2115,1031,48.7,1084,51.3,416,19.7
169,1400000US11001010200,,,,,,,,,42.9,2661,1060,39.8,1601,60.2,1136,42.7
170,1400000US11001010300,,,,,,,,,36.3,3163,1630,51.5,1533,48.5,1905,60.2
171,1400000US11001010400,,,,,,,,,36.8,4594,2506,54.5,2088,45.5,4297,93.5
172,1400000US11001010600,,,,,,,,,34.1,3637,2041,56.1,1596,43.9,1993,54.8
173,1400000US11001010700,,,,,,,,,27.1,1881,773,41.1,1108,58.9,275,14.6
174,1400000US11001010900,,,,,,,,,22.7,3200,1360,42.5,1840,57.5,3110,97.2
175,1400000US11001011000,,,,,,,,,45.9,4528,2112,46.6,2416,53.4,1992,44.0
176,1400000US11001011100,,,,,,,,,47.0,4299,1971,45.8,2328,54.2,3688,85.8
177,1400000US11001001902,44.5,2062,945,45.8,1117,54.2,1841,89.3,46.5,2121,949,44.7,1172,55.3,1689,79.6
178,1400000US11001008100,35.0,2527,1333,52.8,1194,47.2,820,32.4,30.9,3440,1672,48.6,1768,51.4,667,19.4
179,1400000US11001000801,41.1,6721,2826,42.0,3895,58.0,292,4.3,43.1,6286,2784,44.3,3502,55.7,141,2.2
180,1400000US51059415100,41.6,3237,1590,49.1,1647,50.9,325,10.0,35.8,3449,1639,47.5,1810,52.5,421,12.2
181,1400000US51059415401,,,,,,,,,30.4,4623,2095,45.3,2528,54.7,1786,38.6
182,1400000US51059416000,37.7,4080,1995,48.9,2085,51.1,707,17.3,34.9,5309,2468,46.5,2841,53.5,819,15.4
183,1400000US51059420100,37.7,3371,1693,50.2,1678,49.8,342,10.1,38.5,4069,2126,52.2,1943,47.8,511,12.6
184,1400000US51059420800,39.0,3358,1674,49.9,1684,50.1,221,6.6,36.4,3660,1971,53.9,1689,46.1,358,9.8
185,1400000US51059421200,41.5,2053,1015,49.4,1038,50.6,148,7.2,43.4,1856,949,51.1,907,48.9,156,8.4
186,1400000US51059421600,29.8,5549,2766,49.8,2783,50.2,2609,47.0,31.9,5838,2810,48.1,3028,51.9,2447,41.9
187,1400000US51059421800,31.6,4568,2090,45.8,2478,54.2,1707,37.4,32.9,5330,2484,46.6,2846,53.4,1952,36.6
188,1400000US51059422301,,,,,,,,,38.9,2741,1397,51.0,1344,49.0,315,11.5
189,1400000US51059422401,,,,,,,,,37.8,1948,889,45.6,1059,54.4,280,14.4
190,1400000US51059430203,,,,,,,,,40.5,2774,1319,47.5,1455,52.5,67,2.4
191,1400000US51059430500,38.6,1686,840,49.8,846,50.2,64,3.8,38.8,1680,758,45.1,922,54.9,55,3.3
192,1400000US51059430901,,,,,,,,,38.4,4413,2031,46.0,2382,54.0,506,11.5
193,1400000US51059431801,,,,,,,,,37.7,4157,2044,49.2,2113,50.8,147,3.5
