,GEO.id,xxxxx1
679,1400000US51059415700,157917
680,1400000US51059415800,164922
681,1400000US51059415900,168056
682,1400000US51059416000,75531
683,1400000US51059416100,155833
684,1400000US51059416200,70833
685,1400000US51059416300,129760
686,1400000US51059420100,77357
687,1400000US51059420201,125341
688,1400000US51059420202,100500
689,1400000US51059420203,124938
690,1400000US51059420300,116094
691,1400000US51059420400,66068
692,1400000US51059420501,69681
693,1400000US51059420502,83786
694,1400000US51059420503,65577
695,1400000US51059420600,92292
696,1400000US51059420700,103071
697,1400000US51059420800,115625
698,1400000US51059421001,104438
699,1400000US51059421002,91739
700,1400000US51059421101,118358
701,1400000US51059421102,107350
702,1400000US51059421103,136310
703,1400000US51059421200,135083
704,1400000US51059421300,124833
705,1400000US51059421400,36697
706,1400000US51059421500,50455
707,1400000US51059421600,64354
708,1400000US51059421701,57535
709,1400000US51059421702,96968
710,1400000US51059421800,71427
711,1400000US51059421900,65536
712,1400000US51059422000,111750
713,1400000US51059422101,81759
714,1400000US51059422102,79320
715,1400000US51059422201,151650
716,1400000US51059422202,100317
717,1400000US51059422301,101406
718,1400000US51059422302,104107
719,1400000US51059422401,89712
720,1400000US51059422402,119871
721,1400000US51059422403,120196
722,1400000US51059430101,150350
723,1400000US51059430102,109167
724,1400000US51059430201,111250
725,1400000US51059430202,118054
726,1400000US51059430203,145086
727,1400000US51059430400,105642
728,1400000US51059430500,86618
729,1400000US51059430600,85333
730,1400000US51059430700,110660
731,1400000US51059430801,122216
732,1400000US51059430802,85417
733,1400000US51059430901,99712
734,1400000US51059430902,124400
735,1400000US51059431001,117773
736,1400000US51059431002,108688
737,1400000US51059431300,117660
738,1400000US51059431400,126505
739,1400000US51059431500,127875
740,1400000US51059431600,75526
741,1400000US51059431801,90067
742,1400000US51059431802,142537
743,1400000US51059431900,172647
744,1400000US51059432000,118661
745,1400000US51059432100,106650
746,1400000US51059432201,67308
747,1400000US51059432202,100943
748,1400000US51059432300,148370
749,1400000US51059432401,161711
750,1400000US51059432402,139518
751,1400000US51059432500,143480
752,1400000US51059432600,161635
753,1400000US51059432701,161250
754,1400000US51059432702,109180
755,1400000US51059432800,100139
756,1400000US51059440100,137115
757,1400000US51059440201,79767
758,1400000US51059440202,91154
759,1400000US51059440300,169028
760,1400000US51059440501,129432
761,1400000US51059440502,142708
762,1400000US51059440600,89773
763,1400000US51059440701,151862
764,1400000US51059440702,144678
765,1400000US51059440800,133086
766,1400000US51059450100,82462
767,1400000US51059450200,85313
768,1400000US51059450300,78750
769,1400000US51059450400,125956
770,1400000US51059450500,82386
771,1400000US51059450601,121522
772,1400000US51059450602,66648
773,1400000US51059450701,109299
774,1400000US51059450702,54438
775,1400000US51059450800,81667
776,1400000US51059450900,131858
777,1400000US51059451000,118472
778,1400000US51059451100,145813
779,1400000US51059451200,186094
780,1400000US51059451300,137153
781,1400000US51059451400,32377
782,1400000US51059451501,61979
783,1400000US51059451502,72545
784,1400000US51059451601,41955
785,1400000US51059451602,69485
786,1400000US51059451800,100541
787,1400000US51059451900,93116
788,1400000US51059452000,94583
789,1400000US51059452101,98880
790,1400000US51059452102,63833
791,1400000US51059452200,56747
792,1400000US51059452301,59705
793,1400000US51059452302,73688
794,1400000US51059452400,94018
795,1400000US51059452501,104647
796,1400000US51059452502,52552
797,1400000US51059452600,83750
798,1400000US51059452700,66944
799,1400000US51059452801,77601
800,1400000US51059452802,72618
801,1400000US51059460100,193480
802,1400000US51059460200,186893
803,1400000US51059460300,171176
804,1400000US51059460400,129516
805,1400000US51059460501,180078
806,1400000US51059460502,161412
807,1400000US51059460600,151932
808,1400000US51059460701,103329
809,1400000US51059460702,125096
810,1400000US51059460800,105347
811,1400000US51059460900,163472
812,1400000US51059461000,146983
813,1400000US51059461100,152583
814,1400000US51059461201,191471
815,1400000US51059461202,121780
