OBJECTID,GEO.id,acs_10kl,acs_1015,acs_1519,acs_2025,acs_2530,acs_3035,acs_3540,acs_4050,acs_5059,acs_6069,acs_7079,acs_8089,acs_9099,acs_1124,acs_12549,acs_15074,acs_17599,acs_20049,acs_25099,acs_30099,acs_40099,acs_500749,acs_750999,acs_1000
63,1400000US11001009203,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,15,8,138,117,159,123,32,0,0
32,1400000US11001009204,0,0,0,24,0,0,0,0,0,0,0,0,0,11,0,3,14,18,13,30,0,22,0,0
150,1400000US11001009301,0,0,0,0,0,0,0,10,19,0,0,0,0,11,0,12,25,42,26,310,199,244,46,0
64,1400000US11001009302,0,0,0,0,0,0,0,5,0,0,0,0,0,7,9,0,0,9,16,99,51,92,0,0
151,1400000US11001009400,0,0,0,0,12,0,0,8,0,0,0,8,0,11,0,31,10,38,56,449,398,164,0,36
152,1400000US11001009501,14,0,0,0,0,0,0,0,0,0,0,0,0,13,0,29,12,23,103,140,0,18,0,0
153,1400000US11001009503,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,14,39,102,438,309,148,0,0
65,1400000US11001009504,9,0,0,0,0,0,0,0,0,0,0,0,0,39,16,11,11,40,47,240,157,9,0,0
154,1400000US11001009505,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,33,37,45,163,347,124,206,0,0
155,1400000US11001009507,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,77,100,216,107,0,0,0
156,1400000US11001009508,8,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,11,123,132,420,105,10,0,0
66,1400000US11001009509,0,0,0,0,0,0,0,8,0,0,12,0,0,11,0,0,33,126,256,506,158,10,0,0
157,1400000US11001009601,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,87,30,113,65,0,0,0
67,1400000US11001009602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,57,8,14,0,0,0,0
68,1400000US11001009603,0,0,0,0,0,0,0,0,0,0,0,31,0,21,11,60,76,80,125,69,34,12,0,0
