GEO_ID,dem_dec,emp_dec,edu_dec,hsv_dec,ten_dec,pov_dec,ssh_dec
1400000US11001008200,-2.913653963,-5.067095375,-7.020210556,6.917211741,-0.702146053,-0.498868028,-2.181063315
1400000US11001008301,-3.30592085,-4.710991116,-6.501670627,5.622983363,-2.039498326,-1.533808929,-5.877209977
1400000US11001008302,-3.378815519,-4.021151124,-4.832111172,2.704897374,-0.821077741,-0.527683003,-3.746557036
1400000US11001008402,-3.880141222,-3.878144695,-4.383978256,8.950211791,-1.899080144,-4.111597851,-0.863854587
1400000US11001008410,-4.041554843,-3.124165973,-4.180379874,4.548806259,-2.611471404,-0.894286816,-0.565186202
1400000US11001008500,-4.309375943,-4.742015395,-6.294881217,-0.154958112,-5.657221544,-4.319511561,-1.839152024
1400000US11001008600,-3.810458685,-2.977875529,-0.457206532,1.864865945,1.037796561,-2.142185464,0.706525326
1400000US11001008701,-4.273097626,-4.000402707,-5.447927011,-0.104318402,-4.05653566,-3.873026069,-1.06777001
1400000US11001008702,-4.120289445,-3.032268641,-3.797470397,1.303201014,-2.850347999,-4.894298109,0.166246952
1400000US11001008802,-4.592531958,-5.05982653,-5.644682241,0.561282656,-7.352289903,-4.962876504,-3.404027599
1400000US11001008803,-3.320643792,-4.256797438,-7.734292926,-1.067269346,-1.443966046,-4.234426504,-0.05950723
1400000US11001008804,-4.238091984,-3.84833203,-5.250385097,-0.173482765,-4.288294366,-4.74446803,-1.479471931
1400000US11001008903,-4.26465992,-3.82622835,-3.725515829,2.824913118,-5.282482354,-4.031574754,-1.805433602
1400000US11001008904,-4.324720348,-4.140711816,-5.877279001,3.233308012,-6.171020536,-5.324410644,-4.348630242
1400000US11001008905,-2.727858597,1.465556683,1.953993686,0.624943751,1.126264522,1.126285835,0.71332128
1400000US11001009000,-4.695999083,-3.299629736,-5.082693847,0.139928419,-2.820709279,-5.552668562,-0.53968281
1400000US11001009101,-4.808511746,-6.010458694,-6.545886532,4.997678556,-7.157264142,-5.454323744,-2.348223584
1400000US11001009102,-4.497707324,-5.011834619,-7.078030918,0.035378295,-7.036495682,-4.835085211,-1.285960217
1400000US11001009201,-3.758826398,-3.194270131,-4.40962639,8.864275176,-1.275300355,-3.245978174,-0.438545876
1400000US11001009203,-4.316593762,-4.360457828,-5.0371429,0.644710801,-3.954529984,-3.321955773,-0.443380139
1400000US11001009204,-4.139978949,-3.714204497,-4.952586023,3.055177746,-2.776787424,-3.704046868,-0.569579299
1400000US11001009301,-4.156429443,-4.821673222,-6.471235483,1.340766931,-3.402667837,-4.565737297,-3.540542438
1400000US11001009302,-4.154351914,-3.266284646,-3.936862025,0.474509455,-1.610785573,-0.829264842,-0.432191087
1400000US11001009400,-4.708964538,-5.618106785,-5.918199144,2.185382367,-6.810586231,-2.604450082,-2.591800204
1400000US11001009501,-3.790669565,-8.684530092,-16.32472058,6.172557775,-6.24010943,-4.441701126,-2.387745525
1400000US11001009503,-4.492117383,-4.361777267,-5.262115309,6.248083643,-4.146522804,-2.826520073,-0.678347407
1400000US11001009504,-4.2468156,-5.21703816,-6.74536444,6.305742923,-4.286820452,-3.224002315,-4.308585507
1400000US11001009505,-4.560673253,-3.946569575,-4.817710081,0.385048468,-4.116383295,-1.323896488,-1.202628836
1400000US11001009507,-4.34932435,-2.930352425,-4.15972361,0.298063218,-1.199944391,-1.413872106,-0.563802926
1400000US11001009508,-4.580109223,-4.421203492,-5.86834949,2.712400704,-4.984659072,-1.208483887,-0.63964616
1400000US11001009509,-4.627238097,-4.184114557,-4.429529421,-0.304598066,-4.796310595,-0.829077546,-1.835895484
1400000US11001009601,-4.018309101,-3.790690442,-4.448057211,-1.067269346,-3.952641908,-3.312024982,-0.911348649
1400000US11001009602,-4.136090562,-4.305115337,-5.802381507,4.0052709,-6.185796707,-5.388640019,-1.962373357
1400000US11001009603,-4.559794462,-4.635664395,-5.411569227,13.02061663,-5.894938148,-3.564210384,-1.528545574
1400000US11001009604,-4.447070024,-3.351049824,-4.321594786,3.888094688,-3.001310842,-2.322676999,-1.407958637
1400000US11001009700,-4.039814301,-3.942290817,-5.078081983,10.11950503,-5.221319905,-2.324512828,-1.429959429
1400000US11001009801,-3.793355667,-3.631002399,-4.688574775,4.30702296,-3.759945865,-4.734104293,-0.078538757
1400000US11001009802,-3.835241663,-3.326758142,-3.852983777,0.933583457,-2.652529297,-4.854362167,-0.110002884
1400000US11001009803,-4.124980235,-4.235312052,-5.344392561,-1.067269346,-2.923752326,-3.457819735,-1.167555131
1400000US11001009804,-4.018860862,-4.052342174,-5.954989138,-0.271827035,-4.537926975,-4.548287599,-0.669167159
1400000US11001009806,-4.567361006,-6.63675884,-7.826794405,7.984299565,-12.22459973,-9.292093131,-3.296117632
1400000US11001009807,-4.342048438,-4.639730135,-5.987960239,8.434756427,-3.914608445,-2.566528933,-1.45089894
1400000US11001009808,-4.071530682,-4.366197775,-5.214722655,3.479213019,-6.416098459,-3.774488217,-3.510725539
1400000US11001009809,-4.124349255,-2.265811542,-0.365828347,7.696437195,1.126264522,-5.622682272,0.71332128
1400000US11001009901,-4.576532345,-3.866327594,-4.422875232,-1.067269346,-2.638913468,-1.444883081,-0.407325888
1400000US11001009902,-4.510329071,-4.359974685,-4.706445399,7.908895619,-4.555536473,-2.085247369,-0.697885776
1400000US11001009903,-4.237497872,-3.184104554,-3.840743141,4.003128617,-2.94998488,-5.386935538,-0.227167421
1400000US11001009904,-4.022433656,-3.4560129,-4.084515115,3.190643731,-3.989123975,-3.756459024,-1.600705476
1400000US11001009905,-4.20308239,-4.192534886,-4.925217844,10.749106,-4.940708695,-3.472608675,-1.252117274
1400000US11001009906,-4.154349428,-3.144141334,-3.733357037,2.903052288,-2.32867441,-4.275590885,-0.309291391
1400000US11001009907,-4.060115317,-4.265530068,-5.887536591,4.558852096,-4.821473199,-4.973992314,-2.667026984
0,1.070604049,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,2.348080177,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.189974531,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.584511086,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,0.742164209,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.32196853,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.358683058,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,0.92108729,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.309483102,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.425893726,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.356903007,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.051111496,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.114758938,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,0.748544882,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.53297598,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.526402225,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.761690772,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.207226964,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.809892059,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.272325273,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.948158263,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,0.76473197,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,0.907244544,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.552787933,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,0.933838616,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.986273973,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.458094186,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.425326269,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.446391558,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.254115686,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.440635088,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.34707506,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.677199982,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.749929429,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.949445243,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.684858543,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.865558216,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.22728028,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,0.996856444,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.083766088,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.310402174,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.417593288,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.67533756,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.161295704,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.32006431,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.43914875,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,0.871152295,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,0.992345316,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,0.697656,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,0.702918239,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.094818285,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.339779829,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.019847451,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.396056788,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.259573359,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,0.868314229,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.155357659,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.393551172,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.430338585,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,0.861314063,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.718237511,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.394715515,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.522443704,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.560862498,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.103250043,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.033946278,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,0.887434412,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,1.287276202,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
0,0.717517183,1.465556683,1.953993686,-1.067269346,1.126264522,1.126285835,0.71332128
