OBJECTID,GEO.id,acs_oo,acs_ro
671,1400000US24033803300,1102,445
672,1400000US24033803401,338,115
673,1400000US24033803402,986,751
674,1400000US24033803508,588,1037
675,1400000US24033803509,105,857
676,1400000US24033803513,1550,550
677,1400000US24033803514,1028,856
678,1400000US24033803516,1586,121
679,1400000US24033806711,801,653
680,1400000US24033806713,0,1374
681,1400000US24033806714,0,1304
682,1400000US24033806800,1118,195
683,1400000US24033806900,1114,326
684,1400000US24033807000,924,962
685,1400000US24033807102,758,216
686,1400000US24033807200,203,1075
687,1400000US24033807301,478,912
688,1400000US24033807305,617,401
689,1400000US24033807404,1112,455
690,1400000US24033807407,1406,736
691,1400000US24033807408,1934,319
692,1400000US24033807409,339,786
693,1400000US24033807410,750,671
694,1400000US24033803520,1296,62
695,1400000US24033803521,1175,411
696,1400000US24033803522,1095,298
697,1400000US24033803523,1140,64
698,1400000US24033803524,900,288
699,1400000US24033803526,1102,191
700,1400000US24033803527,951,154
701,1400000US24033803601,1077,60
702,1400000US24033803602,384,210
703,1400000US24033803605,1478,360
704,1400000US24033803606,1261,263
705,1400000US24033803608,1390,341
706,1400000US24033803610,707,209
707,1400000US24033803612,301,951
708,1400000US24033803700,662,92
709,1400000US24033803801,557,123
710,1400000US24033803803,1065,745
711,1400000US24033803900,624,337
712,1400000US24033804002,650,669
713,1400000US24033804101,677,449
714,1400000US24033804102,1211,851
715,1400000US24033804200,1087,45
716,1400000US24033804300,364,929
717,1400000US24033804600,550,282
718,1400000US24033804700,1062,255
719,1400000US24033804801,129,1255
720,1400000US24033804802,0,1167
721,1400000US24033805000,1085,976
722,1400000US24033805101,351,932
723,1400000US24033805201,568,718
724,1400000US24033805202,296,962
725,1400000US24033805500,590,515
726,1400000US24033805602,147,1008
727,1400000US24033805700,840,783
728,1400000US24033805801,841,163
729,1400000US24033805802,650,254
730,1400000US24033805906,291,803
731,1400000US24033805907,460,853
732,1400000US24033805908,147,864
733,1400000US24033805909,220,1274
734,1400000US24033806000,856,670
735,1400000US24033806100,1066,487
736,1400000US24033806300,338,357
737,1400000US24033806400,1169,128
738,1400000US24033806501,545,1125
739,1400000US24033806601,626,517
740,1400000US24033806706,1059,361
741,1400000US24033806708,1206,1121
742,1400000US24033806710,2059,284
743,1400000US24033803607,988,55
744,1400000US24031701417,720,1762
745,1400000US24033801908,251,1328
746,1400000US24033807405,1607,292
747,1400000US24031704502,913,12
748,1400000US24031700832,754,224
749,1400000US24031700833,1205,188
750,1400000US24031700834,1402,297
751,1400000US24031700835,1235,98
752,1400000US24031700902,839,366
753,1400000US24031700903,305,379
754,1400000US24031700904,123,1167
755,1400000US24031700905,226,1466
756,1400000US24031701001,1511,504
757,1400000US24031701004,1340,598
758,1400000US24031701005,1014,115
759,1400000US24031701006,1754,139
760,1400000US24031701007,710,735
761,1400000US24031701101,1404,139
762,1400000US24031701201,1437,700
763,1400000US24031701202,955,96
764,1400000US24031701205,1844,440
765,1400000US24031701206,1939,169
766,1400000US24031701211,1361,806
767,1400000US24031701212,824,68
768,1400000US24031701213,2362,476
769,1400000US24031701214,640,747
770,1400000US24031701216,844,1096
771,1400000US24031701218,165,1021
772,1400000US24031701219,12,1135
773,1400000US24031701220,1220,29
774,1400000US24031701221,802,863
775,1400000US24031701303,1208,96
776,1400000US24031701306,991,0
777,1400000US24031701307,1064,51
778,1400000US24031701308,946,67
779,1400000US24031701312,1803,290
780,1400000US24031701314,848,134
781,1400000US24031701315,1327,357
782,1400000US24031701316,1610,445
783,1400000US24031701317,1276,87
784,1400000US24031701408,1888,147
785,1400000US24031701410,1797,665
786,1400000US24031701414,1811,804
787,1400000US24031701415,2103,275
788,1400000US24031701418,986,83
789,1400000US24031701420,1776,1357
790,1400000US24031701421,348,184
791,1400000US24031701423,979,761
792,1400000US24031701503,2038,99
793,1400000US24031701505,1335,1108
794,1400000US24031701506,1706,61
795,1400000US24031701507,1595,218
796,1400000US24031701509,402,1860
797,1400000US24031701602,665,898
798,1400000US24031701701,864,668
799,1400000US24031701702,262,768
800,1400000US24031701703,810,629
801,1400000US24031701704,789,193
802,1400000US24031701800,1052,820
803,1400000US24031702000,663,736
804,1400000US24031702101,999,841
805,1400000US24031701407,1740,123
806,1400000US24031702200,1318,169
807,1400000US24031702301,469,1022
808,1400000US24031702302,917,754
809,1400000US24031702401,686,236
810,1400000US24031702402,686,1266
811,1400000US24031702601,65,2409
812,1400000US24031702602,495,1782
813,1400000US24031702700,979,1238
814,1400000US24031702800,1081,1042
815,1400000US24031702900,1529,727
816,1400000US24031703000,648,32
817,1400000US24031703100,1161,335
818,1400000US24031703202,1798,344
819,1400000US24031703206,918,322
820,1400000US24031703207,588,955
821,1400000US24031703208,1628,103
822,1400000US24031703210,998,106
823,1400000US24031703212,2015,782
824,1400000US24031703213,772,1443
825,1400000US24031703214,469,1970
826,1400000US24031703215,683,414
827,1400000US24031703216,1749,191
828,1400000US24031703219,2129,157
829,1400000US24031703220,1253,687
830,1400000US24031703221,1565,170
831,1400000US24031703302,814,310
832,1400000US24031703401,1127,317
833,1400000US24031703403,833,161
834,1400000US24031703404,634,187
835,1400000US24031703501,1090,838
836,1400000US24031703502,857,368
837,1400000US24031703601,1450,320
838,1400000US24031703701,994,100
839,1400000US24031703702,1047,163
840,1400000US24031703800,324,876
841,1400000US24031703901,961,121
842,1400000US24031704000,1563,968
843,1400000US24031704100,1499,121
844,1400000US24031704200,472,295
845,1400000US24031704300,1231,96
846,1400000US24031704401,904,169
847,1400000US24031704404,1663,481
848,1400000US24031704501,1090,148
849,1400000US24031704503,1149,176
850,1400000US24031704600,1479,499
851,1400000US24031704700,1184,130
852,1400000US24031704803,573,1336
853,1400000US24031704805,123,893
854,1400000US24031704806,174,1500
855,1400000US24031705000,1145,623
856,1400000US24031705100,1648,276
857,1400000US24031705200,1024,112
858,1400000US24031705400,919,40
859,1400000US24031705501,488,1064
860,1400000US24031705502,1288,209
861,1400000US24031705702,1516,181
862,1400000US24031705800,1894,354
863,1400000US24031705902,1288,225
864,1400000US24031705903,1422,116
865,1400000US24031706005,1349,161
866,1400000US24031706007,2181,174
867,1400000US24031706008,1678,60
868,1400000US24031706009,1790,88
869,1400000US24031706010,888,208
870,1400000US24031706012,1137,764
871,1400000US24031706013,867,89
872,1400000US24033800102,619,811
873,1400000US24033800103,190,719
874,1400000US24033800105,1265,212
875,1400000US24033800108,385,973
876,1400000US24033800109,707,728
877,1400000US24033800203,1355,47
878,1400000US24033800206,820,672
879,1400000US24033800208,1673,664
880,1400000US24033800210,154,920
881,1400000US24033800211,275,1082
882,1400000US24033800212,896,180
883,1400000US24033800213,1201,432
884,1400000US24033800215,483,550
885,1400000US24033800401,844,64
886,1400000US24033800402,1680,145
887,1400000US24033800403,1318,22
888,1400000US24033800409,1928,129
889,1400000US24033800410,1500,120
890,1400000US24033800411,956,444
891,1400000US24033800412,675,647
892,1400000US24033800504,1523,210
893,1400000US24033800505,843,59
894,1400000US24033800507,611,479
895,1400000US24033800509,3014,126
