,OBJECTID,GEO_ID_2,STATE,COUNTY,TRACT,NAME,LSAD,CENSUSAREA,GEOID_TXT,CTYFIPS,SHAPE_LENG,SHAPE_AREA,HC01_EST_VC02,HC03_EST_VC04,HC02_EST_VC21
149,150,1400000US11001009301,11,1,9301,93.01,Tract,0.425,11001009301,11001,14988.8529196,11780166.8491,15.0,8.4,41.0
150,151,1400000US11001009400,11,1,9400,94.0,Tract,0.614,11001009400,11001,18029.8285304,17067048.7698,10.7,62.1,34.2
151,152,1400000US11001009501,11,1,9501,95.01,Tract,0.616,11001009501,11001,20053.4800156,17311236.6542,2.7,59.3,16.3
152,153,1400000US11001009503,11,1,9503,95.03,Tract,0.549,11001009503,11001,17608.9156256,14972196.8911,30.2,38.5,39.2
153,154,1400000US11001009505,11,1,9505,95.05,Tract,0.402,11001009505,11001,14685.4316711,10991699.079,7.7,0.0,31.8
154,155,1400000US11001009507,11,1,9507,95.07,Tract,0.114,11001009507,11001,7942.9442223,3027390.63013,0.0,10.4,35.2
155,156,1400000US11001009508,11,1,9508,95.08,Tract,0.365,11001009508,11001,18297.1441523,10295728.4192,46.4,1.6,63.5
156,157,1400000US11001009601,11,1,9601,96.01,Tract,0.728,11001009601,11001,21780.4477558,22540800.8093,9.4,0.0,0.0
157,158,1400000US11001009801,11,1,9801,98.01,Tract,0.167,11001009801,11001,10382.3921881,4981228.11303,70.4,0.0,25.0
158,159,1400000US11001009803,11,1,9803,98.03,Tract,0.205,11001009803,11001,10376.3140493,5590273.55077,20.2,51.8,23.4
159,160,1400000US11001009804,11,1,9804,98.04,Tract,0.2,11001009804,11001,12137.493019,5594034.57543,18.1,50.1,7.7
160,161,1400000US11001009810,11,1,9810,98.1,Tract,0.154,11001009810,11001,9063.23660685,4374977.06804,25.7,0.6,21.0
161,162,1400000US11001009811,11,1,9811,98.11,Tract,0.181,11001009811,11001,11385.3445832,5018786.68515,29.0,0.0,0.0
162,163,1400000US11001009901,11,1,9901,99.01,Tract,0.812,11001009901,11001,19308.2443977,22749079.9674,22.7,0.0,40.5
163,164,1400000US11001009902,11,1,9902,99.02,Tract,0.5,11001009902,11001,17395.3493829,13867516.78,32.4,0.0,12.1
