GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
1400000US11001009000,11001009000,"Census Tract 90, District of Columbia, District of Columbia",1504,82,555,115,949,119
1400000US11001009101,11001009101,"Census Tract 91.01, District of Columbia, District of Columbia",1638,149,1147,155,491,138
1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",1605,110,528,126,1077,158
1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",564,71,200,65,364,74
1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",1202,99,669,163,533,157
1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",1199,88,123,50,1076,97
1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",1194,81,1039,115,155,88
1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",440,86,273,87,167,74
1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",1795,68,1245,136,550,141
1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",1804,138,342,108,1462,174
1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",1140,86,1088,101,52,43
1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",1252,102,540,103,712,128
1400000US11001009505,11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",1103,71,955,90,148,89
1400000US11001009507,11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",660,57,501,72,159,73
1400000US11001009508,11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",1296,94,856,103,440,99
1400000US11001009509,11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",1220,74,1155,81,65,40
1400000US11001009601,11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",822,84,280,68,542,95
1400000US11001009602,11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",1316,79,87,47,1229,90
1400000US11001009603,11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",1589,132,546,106,1043,153
1400000US11001009604,11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",959,81,754,94,205,86
1400000US11001009700,11001009700,"Census Tract 97, District of Columbia, District of Columbia",1118,127,445,114,673,141
1400000US11001009801,11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",387,64,125,53,262,79
1400000US11001009802,11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",544,111,147,71,397,103
1400000US11001009803,11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",985,113,186,71,799,118
1400000US11001009804,11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",983,78,349,93,634,101
1400000US11001009806,11001009806,"Census Tract 98.06, District of Columbia, District of Columbia",2472,221,161,86,2311,221
1400000US11001009807,11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",1339,121,653,106,686,137
1400000US11001009808,11001009808,"Census Tract 98.08, District of Columbia, District of Columbia",1126,101,66,42,1060,104
1400000US11001009809,11001009809,"Census Tract 98.09, District of Columbia, District of Columbia",0,132,0,132,0,132
1400000US11001009901,11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",939,103,798,97,141,84
1400000US11001009902,11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",1113,114,920,109,193,91
1400000US11001009903,11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",521,94,336,79,185,70
1400000US11001009904,11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",680,116,88,59,592,101
1400000US11001009905,11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",1122,111,336,94,786,130
1400000US11001009906,11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",745,77,276,80,469,98
1400000US11001009907,11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",1175,77,248,80,927,98
1400000US24031700101,24031700101,"Census Tract 7001.01, Montgomery County, Maryland",1357,69,1329,70,28,23
1400000US24031700102,24031700102,"Census Tract 7001.02, Montgomery County, Maryland",3818,147,3462,194,356,152
1400000US24031700103,24031700103,"Census Tract 7001.03, Montgomery County, Maryland",1827,48,1734,82,93,69
1400000US24031700202,24031700202,"Census Tract 7002.02, Montgomery County, Maryland",2537,99,2043,132,494,124
1400000US24031700204,24031700204,"Census Tract 7002.04, Montgomery County, Maryland",709,54,675,60,34,51
1400000US24031700205,24031700205,"Census Tract 7002.05, Montgomery County, Maryland",1680,53,1631,62,49,37
1400000US24031700206,24031700206,"Census Tract 7002.06, Montgomery County, Maryland",1884,22,1733,72,151,73
1400000US24031700302,24031700302,"Census Tract 7003.02, Montgomery County, Maryland",2777,157,2317,191,460,154
1400000US24031700304,24031700304,"Census Tract 7003.04, Montgomery County, Maryland",2397,99,1710,130,687,117
1400000US24031700306,24031700306,"Census Tract 7003.06, Montgomery County, Maryland",2382,85,2120,145,262,131
1400000US24031700308,24031700308,"Census Tract 7003.08, Montgomery County, Maryland",2033,152,1686,169,347,114
1400000US24031700309,24031700309,"Census Tract 7003.09, Montgomery County, Maryland",2114,82,1306,111,808,122
1400000US24031700310,24031700310,"Census Tract 7003.10, Montgomery County, Maryland",2104,72,1364,121,740,119
1400000US24031700400,24031700400,"Census Tract 7004, Montgomery County, Maryland",793,58,649,87,144,75
1400000US24031700500,24031700500,"Census Tract 7005, Montgomery County, Maryland",2224,143,2020,174,204,106
1400000US24031700604,24031700604,"Census Tract 7006.04, Montgomery County, Maryland",2133,105,2106,109,27,26
1400000US24031700605,24031700605,"Census Tract 7006.05, Montgomery County, Maryland",2432,61,2299,89,133,76
1400000US24031700606,24031700606,"Census Tract 7006.06, Montgomery County, Maryland",1438,25,1339,68,99,63
1400000US24031700607,24031700607,"Census Tract 7006.07, Montgomery County, Maryland",2402,68,2152,101,250,95
1400000US24031700608,24031700608,"Census Tract 7006.08, Montgomery County, Maryland",1785,62,1734,63,51,38
1400000US24031700609,24031700609,"Census Tract 7006.09, Montgomery County, Maryland",5557,160,4487,203,1070,177
1400000US24031700610,24031700610,"Census Tract 7006.10, Montgomery County, Maryland",668,21,607,56,61,63
1400000US24031700704,24031700704,"Census Tract 7007.04, Montgomery County, Maryland",1021,51,701,75,320,68
1400000US24031700705,24031700705,"Census Tract 7007.05, Montgomery County, Maryland",3478,175,2077,178,1401,201
1400000US24031700706,24031700706,"Census Tract 7007.06, Montgomery County, Maryland",1221,96,368,101,853,117
1400000US24031700708,24031700708,"Census Tract 7007.08, Montgomery County, Maryland",3139,182,1564,225,1575,226
1400000US24031700710,24031700710,"Census Tract 7007.10, Montgomery County, Maryland",2022,63,1621,113,401,108
1400000US24031700711,24031700711,"Census Tract 7007.11, Montgomery County, Maryland",1882,76,1371,112,511,120
1400000US24031700712,24031700712,"Census Tract 7007.12, Montgomery County, Maryland",2909,148,1518,193,1391,195
1400000US24031700713,24031700713,"Census Tract 7007.13, Montgomery County, Maryland",1811,114,678,118,1133,145
1400000US24031700714,24031700714,"Census Tract 7007.14, Montgomery County, Maryland",3127,197,372,123,2755,213
1400000US24031700715,24031700715,"Census Tract 7007.15, Montgomery County, Maryland",1689,72,1522,78,167,69
1400000US24031700716,24031700716,"Census Tract 7007.16, Montgomery County, Maryland",2590,109,2189,162,401,123
1400000US24031700805,24031700805,"Census Tract 7008.05, Montgomery County, Maryland",2819,157,1802,220,1017,205
1400000US24031700806,24031700806,"Census Tract 7008.06, Montgomery County, Maryland",5683,233,4328,246,1355,196
1400000US24031700808,24031700808,"Census Tract 7008.08, Montgomery County, Maryland",2929,145,1929,204,1000,179
1400000US24031700809,24031700809,"Census Tract 7008.09, Montgomery County, Maryland",2841,133,2459,158,382,134
1400000US24031700810,24031700810,"Census Tract 7008.10, Montgomery County, Maryland",1692,82,1462,112,230,79
1400000US24031700811,24031700811,"Census Tract 7008.11, Montgomery County, Maryland",1402,71,990,89,412,87
1400000US24031700812,24031700812,"Census Tract 7008.12, Montgomery County, Maryland",1600,98,1267,81,333,104
1400000US24031700813,24031700813,"Census Tract 7008.13, Montgomery County, Maryland",2018,79,1662,134,356,142
1400000US24031700815,24031700815,"Census Tract 7008.15, Montgomery County, Maryland",2539,49,1937,201,602,199
1400000US24031700816,24031700816,"Census Tract 7008.16, Montgomery County, Maryland",2741,146,1364,190,1377,192
1400000US24031700817,24031700817,"Census Tract 7008.17, Montgomery County, Maryland",2391,45,923,153,1468,152
1400000US24031700818,24031700818,"Census Tract 7008.18, Montgomery County, Maryland",2498,87,578,155,1920,149
1400000US24031700819,24031700819,"Census Tract 7008.19, Montgomery County, Maryland",2212,76,1875,138,337,120
1400000US24031700901,24031700901,"Census Tract 7009.01, Montgomery County, Maryland",1526,186,726,138,800,130
1400000US24031700902,24031700902,"Census Tract 7009.02, Montgomery County, Maryland",1218,104,834,142,384,131
1400000US24031700903,24031700903,"Census Tract 7009.03, Montgomery County, Maryland",674,65,260,67,414,70
1400000US24031700904,24031700904,"Census Tract 7009.04, Montgomery County, Maryland",1229,93,116,47,1113,98
1400000US24031700905,24031700905,"Census Tract 7009.05, Montgomery County, Maryland",1670,89,241,62,1429,88
1400000US24031701001,24031701001,"Census Tract 7010.01, Montgomery County, Maryland",2091,93,1662,118,429,103
1400000US24031701002,24031701002,"Census Tract 7010.02, Montgomery County, Maryland",1186,30,1106,70,80,62
1400000US24031701003,24031701003,"Census Tract 7010.03, Montgomery County, Maryland",3370,114,2442,146,928,128
1400000US24031701004,24031701004,"Census Tract 7010.04, Montgomery County, Maryland",1997,91,1478,131,519,92
1400000US24031701005,24031701005,"Census Tract 7010.05, Montgomery County, Maryland",1215,75,1052,81,163,54
1400000US24031701101,24031701101,"Census Tract 7011.01, Montgomery County, Maryland",1622,71,1495,96,127,67
1400000US24031701102,24031701102,"Census Tract 7011.02, Montgomery County, Maryland",2054,67,1654,143,400,127
1400000US24031701201,24031701201,"Census Tract 7012.01, Montgomery County, Maryland",2148,139,1564,173,584,161
1400000US24031701202,24031701202,"Census Tract 7012.02, Montgomery County, Maryland",1005,25,959,39,46,29
1400000US24031701204,24031701204,"Census Tract 7012.04, Montgomery County, Maryland",3851,196,807,169,3044,202
1400000US24031701205,24031701205,"Census Tract 7012.05, Montgomery County, Maryland",2254,103,1878,98,376,89
1400000US24031701206,24031701206,"Census Tract 7012.06, Montgomery County, Maryland",2110,98,1879,121,231,93
1400000US24031701209,24031701209,"Census Tract 7012.09, Montgomery County, Maryland",2827,71,1970,123,857,112
1400000US24031701210,24031701210,"Census Tract 7012.10, Montgomery County, Maryland",1376,23,1319,40,57,34
1400000US24031701211,24031701211,"Census Tract 7012.11, Montgomery County, Maryland",2406,129,1463,130,943,130
1400000US24031701212,24031701212,"Census Tract 7012.12, Montgomery County, Maryland",881,56,823,57,58,47
1400000US24031701213,24031701213,"Census Tract 7012.13, Montgomery County, Maryland",2729,84,2306,127,423,118
1400000US24031701214,24031701214,"Census Tract 7012.14, Montgomery County, Maryland",1426,74,612,124,814,133
1400000US24031701215,24031701215,"Census Tract 7012.15, Montgomery County, Maryland",2323,133,1309,177,1014,154
1400000US24031701303,24031701303,"Census Tract 7013.03, Montgomery County, Maryland",1289,53,1247,67,42,37
