OBJECTID,GEO.id,dec_ssm,dec_ssmf,dec_ssf,dec_sso
594,1400000US24031703902,12,65,39,2167
595,,,,,
596,,,,,
597,1400000US24031705300,2,2,0,677
598,1400000US24031705601,0,16,0,1016
599,1400000US24031705602,11,10,12,2017
600,1400000US24031705701,0,9,0,1543
601,1400000US24031705901,0,4,4,1407
602,,,,,
603,1400000US24033800106,0,21,0,930
604,1400000US24033800209,18,110,0,1514
605,,,,,
606,1400000US24033800408,7,22,0,1264
607,,,,,
608,,,,,
609,,,,,
610,,,,,
611,,,,,
612,,,,,
613,,,,,
614,,,,,
615,1400000US24033801308,0,13,9,1094
616,,,,,
617,,,,,
618,1400000US24033801702,0,6,0,1429
619,1400000US24033801801,0,39,7,758
620,1400000US24033801805,0,23,6,992
621,1400000US24033802104,8,15,0,879
622,1400000US24033802203,8,37,10,1603
623,1400000US24033802406,0,34,0,823
624,1400000US24033802600,0,20,21,1044
625,1400000US24031700308,33,92,0,2087
626,1400000US24031700309,11,12,0,1476
627,1400000US24031700310,0,24,11,1622
628,,,,,
629,,,,,
630,1400000US24031700400,0,16,4,731
631,1400000US24031700500,4,39,10,2058
632,1400000US24031700604,7,9,0,2020
633,1400000US24031700606,0,20,0,1416
634,1400000US24031700608,4,7,0,1440
635,1400000US24031700610,0,0,0,680
636,,,,,
637,,,,,
638,,,,,
639,,,,,
640,1400000US24031700704,0,40,16,918
641,1400000US24031700706,0,18,0,1203
642,1400000US24031700711,12,42,11,1904
643,1400000US24031700713,0,54,27,1870
644,1400000US24031700715,0,12,5,1643
645,1400000US24031700716,0,67,0,2359
646,,,,,
647,,,,,
648,,,,,
649,,,,,
650,,,,,
651,,,,,
652,1400000US24031700810,15,38,21,1638
653,1400000US24031700811,0,23,0,1232
654,1400000US24031700812,0,23,5,1668
655,1400000US24031700101,0,13,12,1191
656,1400000US24031700103,0,31,27,1358
657,,,,,
658,1400000US24031700204,0,24,4,647
659,1400000US24031700205,0,17,9,1521
660,1400000US24031700206,0,56,0,1581
661,,,,,
662,,,,,
663,1400000US24031700306,10,50,13,1964
664,1400000US24031700813,8,27,6,1906
665,1400000US24031700816,0,80,21,2523
666,1400000US24031700817,0,64,6,1931
