GEO_ID_2,ACS21,HC03_VC77
1400000US11001010900,96.1,0.4
1400000US11001011000,38.2,2.7
1400000US11001011100,84.9,3.4
1400000US11001001902,79.8,5.2
1400000US11001008100,22.2,1.3
1400000US11001000801,4.4,4.6
1400000US51059415100,9.7,6.5
1400000US51059415401,28.2,10.6
1400000US51059416000,15.4,6.6
1400000US51059420100,14.3,4.7
1400000US51059420800,12.8,5.4
1400000US51059421200,12.7,4.1
1400000US51059421600,39.1,25.6
1400000US51059421800,33.1,10.7
1400000US51059422301,12.7,2.3
1400000US51059422401,16.7,8.4
1400000US51059430203,2.3,2.4
1400000US51059430500,1.9,0.0
1400000US51059430901,13.8,3.0
1400000US51059431801,4.6,7.3
1400000US51059431900,2.1,2.9
1400000US51059432300,6.3,2.5
1400000US51059432702,19.8,4.0
1400000US51059440600,5.3,11.2
1400000US51059450200,7.7,30.2
1400000US51059450500,9.9,21.9
1400000US51059450702,10.7,7.9
1400000US51059451300,1.0,3.7
1400000US51059451900,27.0,7.5
1400000US51059452102,6.7,11.9
1400000US51059452502,45.8,4.1
1400000US51059452802,16.2,3.6
1400000US51059460200,0.3,0.0
1400000US51059460300,0.0,3.4
1400000US51059460600,0.3,2.6
1400000US51059461000,4.4,2.9
1400000US51059461601,4.7,2.9
1400000US51059461901,23.9,1.9
1400000US51059470600,0.1,1.0
1400000US51059471000,0.4,0.0
1400000US51059471303,2.2,3.3
1400000US51059480202,2.7,0.2
1400000US51059480501,0.0,1.5
1400000US51059480802,3.2,3.9
1400000US51059481000,8.1,14.8
1400000US51059481104,8.4,0.9
1400000US51059481701,2.9,0.7
1400000US51059482301,9.8,3.2
1400000US51059482502,3.0,3.0
1400000US51059490501,3.7,17.0
1400000US51059491202,11.1,3.3
1400000US51059491401,9.0,6.6
1400000US51059491501,7.0,0.9
1400000US51059491703,9.5,0.0
1400000US51059491801,7.3,3.8
1400000US51059492202,4.8,2.3
1400000US51059980100,-,-
1400000US51013100100,1.9,0.9
1400000US51013100400,0.0,0.4
1400000US51013100800,19.6,18.6
1400000US51013101401,4.7,2.3
1400000US51013101602,8.2,0.5
1400000US51013101703,0.6,0.0
1400000US51013101900,1.9,0.2
1400000US51013102301,6.7,0.7
1400000US51013102702,12.0,0.4
1400000US51013102902,4.5,9.3
1400000US51013103402,13.0,0.3
1400000US51013103602,1.1,6.6
1400000US51510200103,41.7,12.4
1400000US51510200107,15.2,3.7
1400000US51510200301,22.6,9.9
1400000US51510200405,32.8,8.1
1400000US51510200500,40.5,4.1
1400000US51510200600,26.0,6.7
1400000US51510200701,3.5,5.0
1400000US51510200702,11.1,1.1
1400000US51510200900,3.2,0.2
1400000US51510201204,24.2,15.0
1400000US51510201600,37.0,1.1
1400000US51510202001,0.9,0.0
1400000US51600300300,,
1400000US51610500300,1.1,0.9
1400000US51059415200,1.5,1.6
1400000US51059415300,15.1,18.9
1400000US51059415402,16.4,6.2
1400000US51059415500,19.6,0.0
1400000US51059415600,2.1,0.4
1400000US51059415700,2.1,0.8
1400000US51059415800,1.3,1.8
1400000US51059415900,8.4,7.6
1400000US51059416100,9.5,2.6
1400000US51059416200,17.3,8.4
1400000US51059416300,10.7,0.0
1400000US51059420201,16.4,4.0
1400000US51059420202,24.6,0.4
1400000US51059420203,10.8,5.9
1400000US51059420300,9.2,10.7
1400000US51059420501,21.5,0.0
1400000US51059420502,14.6,6.8
1400000US51059420503,25.5,11.7
1400000US51059420600,19.8,16.5
1400000US51059420700,7.3,1.2
1400000US51059421001,10.0,6.4
1400000US51059421002,23.5,2.3
1400000US51059421101,19.8,2.4
1400000US51059421102,15.9,4.9
1400000US51059421103,12.9,2.1
1400000US51059421300,12.2,1.1
1400000US51059421400,27.4,20.1
1400000US51059421500,27.3,28.9
1400000US51059421701,26.9,11.2
1400000US51059421702,24.5,13.5
1400000US51059421900,28.1,4.2
1400000US51059422000,22.0,10.9
1400000US51059422101,30.9,4.4
1400000US51059422102,39.7,4.9
1400000US51059422201,8.0,5.3
1400000US51059422202,24.6,1.0
1400000US51059422302,19.2,1.9
1400000US51059422402,21.3,0.4
1400000US51059422403,13.9,1.9
1400000US51059430101,2.7,0.0
1400000US51059430102,8.3,2.4
1400000US51059430201,7.9,10.0
1400000US51059430202,1.9,4.9
1400000US51059430400,2.9,1.1
1400000US51059430600,5.3,19.3
1400000US51059430700,2.4,9.9
1400000US51059430801,1.9,4.7
1400000US51059430802,8.1,1.4
1400000US51059430902,3.8,5.9
1400000US51059431001,5.4,4.6
1400000US51059431002,19.7,1.9
1400000US51059431300,2.5,3.5
1400000US51059431400,7.4,0.5
1400000US51059431500,9.0,2.4
1400000US51059431600,4.9,2.2
1400000US51059431802,0.7,5.6
1400000US51059432000,5.2,8.6
1400000US51059432100,3.7,1.3
1400000US51059432201,6.0,8.4
1400000US51059432202,9.3,2.6
1400000US51059432401,2.6,4.3
1400000US51059432402,6.1,4.1
1400000US51059432500,8.4,1.4
1400000US51059432600,9.9,2.2
1400000US51059432701,13.0,0.0
1400000US51059432800,22.0,1.7
1400000US51059440100,2.8,1.5
1400000US51059440201,4.7,26.4
1400000US51059440202,7.6,3.1
1400000US51059440300,0.3,0.0
1400000US51059440501,0.0,1.4
1400000US51059440502,17.5,2.7
1400000US51059440701,3.0,2.5
1400000US51059440702,0.0,0.5
1400000US51059440800,2.1,0.3
1400000US51059450100,10.2,5.0
1400000US51059450300,6.7,16.6
1400000US51059450400,1.2,8.1
1400000US51059450601,1.1,4.9
1400000US51059450602,3.6,19.0
1400000US51059450701,8.9,0.0
1400000US51059450800,6.8,4.3
1400000US51059450900,0.4,12.0
1400000US51059451000,3.5,3.0
1400000US51059451100,0.0,12.0
1400000US51059451200,5.4,2.4
1400000US51059451400,2.9,39.4
1400000US51059451501,19.8,21.7
1400000US51059451502,22.1,14.1
1400000US51059451601,2.7,48.9
1400000US51059451602,11.2,4.2
1400000US51059451800,0.0,13.3
1400000US51059452000,11.5,0.0
1400000US51059452101,11.2,0.5
1400000US51059452200,6.0,8.4
1400000US51059452301,5.9,22.7
1400000US51059452302,7.6,10.4
