OBJECTID,GEO.id,acsma,acsmpp,acsfpp,acsaapp
399,1400000US51059480505,33.8,49.1,50.9,6.6
400,1400000US51059480801,35.8,53.3,46.7,8.2
401,1400000US51059480901,33.0,48.4,51.6,16.1
402,1400000US51059480902,37.0,56.9,43.1,11.6
403,1400000US51059480903,31.2,47.7,52.3,13.6
404,1400000US51059481101,29.8,53.5,46.5,7.6
405,1400000US51059481102,33.5,49.0,51.0,9.9
406,1400000US51059481103,30.0,52.4,47.6,9.9
407,1400000US51059481105,39.9,46.3,53.7,2.6
408,1400000US51059481106,38.2,47.3,52.7,7.2
409,1400000US51059481201,34.5,55.7,44.3,6.1
410,1400000US51059481202,32.9,51.0,49.0,19.9
411,1400000US51059481400,42.0,46.3,53.7,8.4
412,1400000US51059481500,48.2,48.9,51.1,1.6
413,1400000US51059481600,43.3,48.9,51.1,2.0
414,1400000US51059481702,36.4,49.4,50.6,9.4
415,1400000US51059481900,37.6,49.1,50.9,14.3
416,1400000US51059482001,41.4,51.3,48.7,3.0
417,1400000US51059482100,41.8,50.9,49.1,9.1
418,1400000US51059482201,32.9,43.0,57.0,27.7
419,1400000US51059482202,45.2,47.6,52.4,11.4
420,1400000US51059482203,40.8,47.2,52.8,3.1
421,1400000US51059482302,29.7,54.7,45.3,27.8
422,1400000US51059482303,45.8,46.0,54.0,2.9
423,1400000US51059482400,44.7,47.1,52.9,0.0
424,1400000US51059482501,30.6,46.7,53.3,12.5
425,1400000US51059482503,36.6,49.3,50.7,3.2
426,1400000US51059482504,36.7,52.3,47.7,2.1
427,1400000US51059482601,37.5,51.2,48.8,12.3
428,1400000US51059482602,37.3,46.7,53.3,4.0
429,1400000US51059490101,33.6,46.3,53.7,8.8
430,1400000US51059490103,35.0,52.7,47.3,1.3
431,1400000US51059490502,41.6,48.6,51.4,3.1
432,1400000US51059491000,38.8,46.9,53.1,2.7
433,1400000US51059491101,39.3,50.8,49.2,1.6
434,1400000US51059491102,38.6,48.9,51.1,4.5
435,1400000US51059491201,31.8,49.7,50.3,13.7
436,1400000US51059491301,31.3,48.8,51.2,6.9
437,1400000US51059491302,31.4,45.6,54.4,4.6
438,1400000US51059491303,29.0,54.9,45.1,10.5
439,1400000US51059491402,31.5,51.5,48.5,7.8
440,1400000US51059491403,40.6,50.3,49.7,2.2
441,1400000US51059491404,33.0,48.7,51.3,8.0
442,1400000US51059491405,38.8,51.5,48.5,4.9
443,1400000US51059491502,37.5,51.1,48.9,3.5
444,1400000US51059491601,29.2,43.9,56.1,11.5
445,1400000US51059491602,36.4,50.2,49.8,6.0
446,1400000US51059491701,34.9,45.9,54.1,6.8
447,1400000US51059491702,29.5,46.5,53.5,11.8
448,1400000US51059491704,33.4,47.7,52.3,7.4
449,1400000US51059491705,33.2,45.3,54.7,1.0
450,1400000US51059491802,38.7,47.1,52.9,3.2
451,1400000US51059491803,38.8,50.0,50.0,2.6
452,1400000US51059492000,45.7,49.8,50.2,5.9
453,1400000US51059492100,46.9,49.7,50.3,0.6
454,1400000US51059492201,47.3,45.4,54.6,5.2
455,1400000US51059492203,43.2,51.1,48.9,1.1
456,1400000US51059492300,36.5,51.6,48.4,9.0
457,1400000US51059492400,32.8,51.2,48.8,11.8
458,1400000US51059492500,43.2,48.9,51.1,1.9
459,1400000US51059980200,-,-,-,-
460,1400000US51059980300,-,-,-,-
461,1400000US51013100200,42.0,49.4,50.6,2.1
462,1400000US51013100300,44.6,48.9,51.1,3.4
463,1400000US51013100500,37.3,51.1,48.9,0.0
464,1400000US51013100600,43.1,46.6,53.4,5.4
465,1400000US51013100700,37.2,43.7,56.3,4.2
466,1400000US51013100900,40.0,43.7,56.3,4.4
467,1400000US51013101000,37.8,46.8,53.2,3.8
468,1400000US51013101100,36.5,47.8,52.2,2.7
469,1400000US51013101200,40.9,46.0,54.0,2.6
470,1400000US51013101300,36.5,54.5,45.5,0.6
471,1400000US51013101402,32.3,50.3,49.7,0.0
472,1400000US51013101403,30.6,52.2,47.8,2.9
473,1400000US51013101404,35.0,48.1,51.9,4.2
474,1400000US51013101500,30.3,46.2,53.8,2.9
475,1400000US51013101601,30.5,50.1,49.9,1.3
476,1400000US51013101603,28.8,56.3,43.7,1.6
477,1400000US51013101701,28.3,53.4,46.6,10.1
478,1400000US51013101702,31.4,45.1,54.9,4.4
479,1400000US51013101801,31.9,54.9,45.1,5.2
480,1400000US51013101802,30.1,54.5,45.5,8.3
481,1400000US51013101803,30.3,52.8,47.2,11.7
482,1400000US51013102001,34.8,51.7,48.3,4.2
483,1400000US51013102002,27.2,52.9,47.1,7.3
484,1400000US51013102003,35.0,54.5,45.5,6.1
485,1400000US51013102100,44.3,40.6,59.4,1.1
486,1400000US51013102200,29.5,51.0,49.0,19.2
487,1400000US51013102302,33.8,54.0,46.0,5.7
488,1400000US51013102400,33.6,51.3,48.7,10.4
489,1400000US51013102500,35.5,50.6,49.4,17.2
490,1400000US51013102600,36.6,42.7,57.3,9.2
491,1400000US51013102701,32.9,54.7,45.3,26.7
492,1400000US51013102801,34.7,53.7,46.3,18.2
493,1400000US51013102802,38.1,50.1,49.9,13.0
494,1400000US51013102901,34.1,43.8,56.3,2.7
495,1400000US51013103000,36.7,42.5,57.5,1.0
496,1400000US51013103100,32.7,47.0,53.0,45.4
497,1400000US51013103200,33.2,50.5,49.5,15.9
498,1400000US51013103300,29.5,51.6,48.4,30.4
499,1400000US51013103401,23.6,80.0,20.0,12.8
500,1400000US51013103501,33.5,40.3,59.7,2.4
501,1400000US51013103502,38.9,45.2,54.8,12.2
502,1400000US51013103503,32.8,53.8,46.2,8.3
503,1400000US51013103601,37.8,48.7,51.3,3.4
504,1400000US51013103700,46.8,51.8,48.2,1.9
505,1400000US51013103800,30.0,52.8,47.2,28.2
506,1400000US51013980100,-,-,-,-
507,1400000US51013980200,37.5,100.0,0.0,0.0
508,1400000US51059491103,32.4,53.5,46.5,6.2
509,1400000US51510201300,35.1,50.6,49.4,13.1
510,1400000US51510201400,36.3,48.3,51.7,4.5
511,1400000US51510201500,44.4,44.1,55.9,12.5
512,1400000US51510201801,41.9,49.9,50.1,11.2
513,1400000US51510201802,43.7,43.3,56.7,16.9
514,1400000US51510201900,35.6,50.2,49.8,2.4
515,1400000US51510202002,43.9,44.7,55.3,7.4
