GEO.id,GEO.id2,GEO.display-label,VD01,
Id,Id2,Geography,Median household income in 1999,
1400000US24031701412,24031701412,"Census Tract 7014.12, Montgomery County, Maryland",66134,86569.41
1400000US24031701414,24031701414,"Census Tract 7014.14, Montgomery County, Maryland",75304,98572.94
1400000US24031701415,24031701415,"Census Tract 7014.15, Montgomery County, Maryland",78662,102968.56
1400000US24031701416,24031701416,"Census Tract 7014.16, Montgomery County, Maryland",48629,63655.36
1400000US24031701417,24031701417,"Census Tract 7014.17, Montgomery County, Maryland",47609,62320.18
1400000US24031701503,24031701503,"Census Tract 7015.03, Montgomery County, Maryland",80385,105223.97
1400000US24031701504,24031701504,"Census Tract 7015.04, Montgomery County, Maryland",43368,56768.71
1400000US24031701505,24031701505,"Census Tract 7015.05, Montgomery County, Maryland",58264,76267.58
1400000US24031701506,24031701506,"Census Tract 7015.06, Montgomery County, Maryland",92599,121212.09
1400000US24031701507,24031701507,"Census Tract 7015.07, Montgomery County, Maryland",94533,123743.70
1400000US24031701600,24031701600,"Census Tract 7016, Montgomery County, Maryland",43929,57503.06
1400000US24031701701,24031701701,"Census Tract 7017.01, Montgomery County, Maryland",47138,61703.64
1400000US24031701702,24031701702,"Census Tract 7017.02, Montgomery County, Maryland",36946,48362.31
1400000US24031701703,24031701703,"Census Tract 7017.03, Montgomery County, Maryland",50192,65701.33
1400000US24031701704,24031701704,"Census Tract 7017.04, Montgomery County, Maryland",60022,78568.80
1400000US24031701800,24031701800,"Census Tract 7018, Montgomery County, Maryland",52593,68844.24
1400000US24031701900,24031701900,"Census Tract 7019, Montgomery County, Maryland",38208,50014.27
1400000US24031702000,24031702000,"Census Tract 7020, Montgomery County, Maryland",41758,54661.22
1400000US24031702101,24031702101,"Census Tract 7021.01, Montgomery County, Maryland",45938,60132.84
1400000US24031702102,24031702102,"Census Tract 7021.02, Montgomery County, Maryland",91651,119971.16
1400000US24031702200,24031702200,"Census Tract 7022, Montgomery County, Maryland",79014,103429.33
1400000US24031702301,24031702301,"Census Tract 7023.01, Montgomery County, Maryland",43208,56559.27
1400000US24031702302,24031702302,"Census Tract 7023.02, Montgomery County, Maryland",57770,75620.93
1400000US24031702401,24031702401,"Census Tract 7024.01, Montgomery County, Maryland",70372,92116.95
1400000US24031702402,24031702402,"Census Tract 7024.02, Montgomery County, Maryland",41037,53717.43
1400000US24031702500,24031702500,"Census Tract 7025, Montgomery County, Maryland",36275,47483.98
1400000US24031702601,24031702601,"Census Tract 7026.01, Montgomery County, Maryland",44351,58055.46
