OBJECTID,GEO_ID,STATE,COUNTY,TRACT,NAME,LSAD,CENSUSAREA,GEOID_TXT,CTYFIPS,SHAPE_LENG,SHAPE_AREA
174,1400000US11001010900,11,001,010900,109,Tract,0.919,11001010900,11001,38180.1871191,55921326.7294
175,1400000US11001011000,11,001,011000,110,Tract,0.25,11001011000,11001,18547.0201827,11121960.8164
176,1400000US11001011100,11,001,011100,111,Tract,2.206,11001011100,11001,44610.0364306,65188603.1768
177,1400000US11001001902,11,001,001902,19.02,Tract,0.343,11001001902,11001,13111.9258654,9550035.63347
178,1400000US11001008100,11,001,008100,81,Tract,0.113,11001008100,11001,7648.5108596,3144077.36045
179,1400000US11001000801,11,001,000801,8.01,Tract,1.132,11001000801,11001,27372.6857428,33639907.4572
180,1400000US51059415100,51,059,415100,4151,Tract,0.92,51059415100,51059,21573.946505,25481320.0518
181,1400000US51059415401,51,059,415401,4154.01,Tract,0.625,51059415401,51059,18131.9324155,17305420.6206
182,1400000US51059416000,51,059,416000,4160,Tract,1.327,51059416000,51059,28708.7291305,37073500.6321
183,1400000US51059420100,51,059,420100,4201,Tract,1.418,51059420100,51059,36062.0056653,39928401.2538
184,1400000US51059420800,51,059,420800,4208,Tract,1.058,51059420800,51059,27956.105983,29478843.161
185,1400000US51059421200,51,059,421200,4212,Tract,0.528,51059421200,51059,20787.7899217,17336068.1863
186,1400000US51059421600,51,059,421600,4216,Tract,0.443,51059421600,51059,20043.0585259,12222668.0284
187,1400000US51059421800,51,059,421800,4218,Tract,0.762,51059421800,51059,22174.4170395,21051593.7051
188,1400000US51059422301,51,059,422301,4223.01,Tract,0.505,51059422301,51059,16142.8722417,14053207.7534
189,1400000US51059422401,51,059,422401,4224.01,Tract,0.213,51059422401,51059,10970.5817244,5834861.1483
190,1400000US51059430203,51,059,430203,4302.03,Tract,0.605,51059430203,51059,17502.1664711,16774439.0684
191,1400000US51059430500,51,059,430500,4305,Tract,0.437,51059430500,51059,18143.6928795,12075073.163
192,1400000US51059430901,51,059,430901,4309.01,Tract,0.742,51059430901,51059,19237.8286548,20284930.5366
193,1400000US51059431801,51,059,431801,4318.01,Tract,0.549,51059431801,51059,28791.3834459,16252163.8512
194,1400000US51059431900,51,059,431900,4319,Tract,0.613,51059431900,51059,17791.7331542,16916214.4977
195,1400000US51059432300,51,059,432300,4323,Tract,1.147,51059432300,51059,23753.5458704,32459553.5937
196,1400000US51059432702,51,059,432702,4327.02,Tract,0.662,51059432702,51059,25127.2576832,17905398.9492
197,1400000US51059440600,51,059,440600,4406,Tract,1.34,51059440600,51059,27170.7352329,37401711.39
198,1400000US51059450200,51,059,450200,4502,Tract,0.513,51059450200,51059,18708.0970816,14207807.5505
199,1400000US51059450500,51,059,450500,4505,Tract,0.401,51059450500,51059,13892.572802,11128240.0641
200,1400000US51059450702,51,059,450702,4507.02,Tract,0.475,51059450702,51059,15644.7197515,13272217.7181
201,1400000US51059451300,51,059,451300,4513,Tract,0.676,51059451300,51059,20460.6658874,19266270.9728
202,1400000US51059451900,51,059,451900,4519,Tract,1.069,51059451900,51059,25346.9289709,29926228.2461
203,1400000US51059452102,51,059,452102,4521.02,Tract,0.898,51059452102,51059,22573.4187597,25092407.7312
204,1400000US51059452502,51,059,452502,4525.02,Tract,0.47,51059452502,51059,16834.3640022,13199591.0741
205,1400000US51059452802,51,059,452802,4528.02,Tract,0.048,51059452802,51059,7151.76478384,1349806.10065
206,1400000US51059460200,51,059,460200,4602,Tract,3.129,51059460200,51059,50860.9297611,87701823.5868
207,1400000US51059460300,51,059,460300,4603,Tract,0.864,51059460300,51059,27396.006778,24457201.4249
208,1400000US51059460600,51,059,460600,4606,Tract,1.085,51059460600,51059,24821.2093876,30216783.4577
209,1400000US51059461000,51,059,461000,4610,Tract,0.65,51059461000,51059,18292.2493135,18292078.962
210,1400000US51059461601,51,059,461601,4616.01,Tract,1.085,51059461601,51059,29462.5226519,30336846.4943
211,1400000US51059461901,51,059,461901,4619.01,Tract,0.351,51059461901,51059,17592.2984412,9877110.18924
212,1400000US51059470600,51,059,470600,4706,Tract,0.934,51059470600,51059,22806.1357893,26152879.7896
213,1400000US51059471000,51,059,471000,4710,Tract,0.724,51059471000,51059,20234.709799,20203943.8527
214,1400000US51059471303,51,059,471303,4713.03,Tract,0.535,51059471303,51059,21322.2166579,14920767.9977
215,1400000US51059480202,51,059,480202,4802.02,Tract,1.337,51059480202,51059,26912.5436836,37257392.5896
216,1400000US51059480501,51,059,480501,4805.01,Tract,1.957,51059480501,51059,32178.3685398,55015388.1783
217,1400000US51059480802,51,059,480802,4808.02,Tract,0.996,51059480802,51059,24447.9510929,27818822.4336
218,1400000US51059481000,51,059,481000,4810,Tract,0.548,51059481000,51059,16788.5983468,15285779.4249
219,1400000US51059481104,51,059,481104,4811.04,Tract,0.133,51059481104,51059,7605.47770636,3559798.92307
220,1400000US51059481701,51,059,481701,4817.01,Tract,4.037,51059481701,51059,49718.856756,112953909.912
221,1400000US51059482301,51,059,482301,4823.01,Tract,1.113,51059482301,51059,27650.0926638,33124376.0699
222,1400000US51059482502,51,059,482502,4825.02,Tract,0.614,51059482502,51059,17326.3443072,16765549.5496
223,1400000US51059490501,51,059,490501,4905.01,Tract,0.423,51059490501,51059,16596.4364607,11771644.4275
224,1400000US51059491202,51,059,491202,4912.02,Tract,0.286,51059491202,51059,13051.9396499,8014486.1742
225,1400000US51059491401,51,059,491401,4914.01,Tract,0.507,51059491401,51059,17761.2871085,14322566.2387
