GEO_ID_2,ACS_15,HC03_EST_VC32,DEC_20
1400000US51059431802,104398,76.6,
1400000US51059432000,71458,54.1,0
1400000US51059432100,79392,88.7,0
1400000US51059432201,56506,42.0,
1400000US51059432202,66213,75.9,
1400000US51059432401,96121,100.0,
1400000US51059432402,94130,100.0,
1400000US51059432500,104659,92.7,0
1400000US51059432600,102905,68.3,0
1400000US51059432701,86716,100.0,
1400000US51059432800,56050,54.3,0
1400000US51059440100,94917,94.7,8
1400000US51059440201,40523,44.4,
1400000US51059440202,52178,98.4,
1400000US51059440300,108009,90.6,0
1400000US51059440501,101125,98.2,
1400000US51059440502,54013,86.0,
1400000US51059440701,117396,100.0,
1400000US51059440702,67250,100.0,
1400000US51059440800,94896,85.9,0
1400000US51059450100,68646,85.0,0
1400000US51059450300,45548,67.9,43
1400000US51059450400,67667,87.8,0
1400000US51059450601,77260,92.3,
1400000US51059450602,52024,54.0,
1400000US51059450701,57102,92.1,
1400000US51059450800,47661,78.5,0
1400000US51059450900,45096,92.3,5
1400000US51059451000,66122,80.1,0
1400000US51059451100,74779,100.0,7
1400000US51059451200,124676,100.0,0
1400000US51059451400,30625,78.0,0
1400000US51059451501,41049,84.0,
1400000US51059451502,55694,97.7,
1400000US51059451601,26607,48.3,
1400000US51059451602,54639,97.6,
1400000US51059451800,56538,82.5,6
1400000US51059452000,47500,71.1,0
1400000US51059452101,64250,87.3,
1400000US51059452200,35780,77.2,0
1400000US51059452301,23871,93.0,
1400000US51059452302,37632,55.8,
1400000US51059452400,57647,82.2,7
1400000US51059452501,65172,90.6,
1400000US51059452600,56779,77.7,0
1400000US51059452700,33802,78.2,0
1400000US51059452801,63453,96.6,
1400000US51059460100,129602,83.4,6
1400000US51059460400,109188,78.3,0
1400000US51059460501,108333,84.4,
1400000US51059460502,110281,75.5,
1400000US51059460701,43673,85.5,
1400000US51059460702,83679,85.4,
1400000US51059460800,73333,79.4,0
1400000US51059460900,100208,84.3,0
1400000US51059461100,117460,92.3,8
1400000US51059461201,143472,95.6,
1400000US51059461202,83864,100.0,
1400000US51059461500,105357,93.3,0
1400000US51059461602,89026,83.5,
1400000US51059461700,59375,59.6,0
1400000US51059461801,87986,75.6,
1400000US51059461802,74647,72.0,
1400000US51059461902,42800,0.0,
1400000US51059470100,149545,100.0,0
1400000US51059470300,146027,93.8,5
1400000US51059470400,157276,96.4,0
1400000US51059470500,120809,98.5,0
1400000US51059470700,105486,97.3,0
1400000US51059470800,110464,95.2,0
1400000US51059470900,116429,94.5,0
1400000US51059471100,67188,76.3,0
