2010,2000,DEC_MA,DEC_TP,DEC_MP,DEC_MPP,DEC_FP,DEC_FPP,DEC_AAP,DEC_AAPP,DEC_LF,DEC_LFP,DEC_EM,DEC_EMP,DEC_UE,DEC_UEP,DEC_NLF,DECNLFP,DEC_FLF,DEC_FLFP,D_E1824,D_E24LM,D_E24LF,D_NH24L,D_NH24LM,D_NH24LF,D_HS24L,D_HS24LM,D_AS24L,D_AS24LM,D_AS24LF,D_BA24L,D_BA24LM,D_BA24LF,D_HS34LM,D_HS34LF,D_BA34L,D_BA34LM,D_BA34LF,D_HS44L,D_HS44LM,D_HS44LF,DEC_10KL,DEC_1015,DEC_1519,DEC_2025,DEC_2530,DEC_3035,DEC_3540,DEC_4050,DEC_5059,DEC_6069,DEC_7079,DEC_8089,DEC_9099,DEC_1124,DEC_12549,DEC_15074,DEC_17599,DEC_20049,DEC_25099,DEC_30099,DEC_40099,DEC_500749,DEC_750999,DEC_1000,DEC_MGRP,DEC_MOC,DEC_FOC,DEC_MRC,DEC_FRC,DEC_MO,DEC_FO,DEC_MR,DEC_FR,DEC_OO,DEC_RO,DEC_SSM,DEC_SSMF,DEC_SSF,DEC_SSO,DEC_BPL,DEC_BPLP,DEC_BPLM,DEC_BPLF,DEC_BPLMP,DEC_BPLFP,DEC_MI,AREA,PERCENTAGE
1400000US11001000501,1400000US11001000400,45.2,1510,737,48.8,773,51.2,67,4.4,833,64.1,830,63.8,3,0.2,467,35.9,360,52.6,74,11,63,0,0,0,21,0,0,0,0,53,11,42,100,100,100,100,100,99.1,98.5,100,0,0,0,0,0,0,0,0,0,0,0,46,25,52,31,14,29,0,0,0,0,0,0,0,28.7,0,0,0,0,5,14,0,5,451,219,16,0,0,664,45,3,5,2,40,14.7,129133,1.14E-06,1.187028528
1400000US11001000501,1400000US11001001302,38.3,6294,2582,41,3712,59,374,5.9,4620,76.4,4516,74.7,95,1.6,1424,23.6,2640,72.8,359,115,244,14,7,7,18,5,58,40,18,269,63,206,100,100,100,100,100,97.7,98.7,96.9,0,0,7,0,0,0,0,0,0,0,0,7,78,340,352,204,118,38,0,0,0,9,0,7,22.5,0,0,0,21,0,49,13,48,1511,3137,26,106,0,4391,270,4.3,57,3.7,158,6.1,58790,9.81E-07,1.024387886
1400000US11001000501,1400000US11001003900,32.6,4643,2340,50.4,2303,49.6,916,19.7,3603,82.6,3469,79.5,114,2.6,761,17.4,1669,78.9,522,206,316,114,78,36,86,26,25,0,25,297,102,195,94.8,94.9,87.8,88.8,86.3,85.9,81.8,89.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,15,9,66,28,83,24,0,22.7,0,8,12,27,15,26,39,115,736,2118,63,98,24,2624,389,8.4,188,12.1,150,11.2,42532,1.82E-07,0.190634282
1400000US11001000502,1400000US11001000502,38,3112,1393,44.8,1719,55.2,83,2.7,2276,80.7,2246,79.6,30,1.1,544,19.3,1201,77.6,175,107,68,32,25,7,9,9,23,13,10,111,60,51,100,100,100,100,100,94.1,97,91.8,0,8,0,0,0,0,8,0,0,9,15,0,37,95,66,38,16,23,10,0,0,0,0,0,27.1,19,25,0,0,7,22,20,12,849,871,52,33,0,1642,133,4.3,72,11.8,45,5.5,66815,5.64E-05,91.85639559
1400000US11001000502,1400000US11001000600,45.6,4919,2075,42.2,2844,57.8,630,12.8,2759,63.3,2727,62.6,24,0.6,1598,36.7,1502,56.3,306,88,218,31,5,26,34,15,21,5,16,220,63,157,93,99.4,94.2,88.3,100,95.1,95.7,94.7,0,0,0,0,0,0,0,0,0,0,9,5,49,282,251,105,20,7,0,0,8,0,0,0,19.5,0,38,0,18,17,41,0,65,1345,822,7,43,28,1965,206,4.8,56,8.3,137,12.5,89507,2.97E-06,4.833911692
1400000US11001000502,1400000US11001000501,32.5,2765,1171,42.4,1594,57.6,134,4.8,2140,80.7,2058,77.6,76,2.9,512,19.3,1224,79.7,391,154,237,13,13,0,12,12,145,37,108,221,92,129,95.2,93.6,100,100,100,94,100,90.1,0,0,0,0,0,0,0,0,11,0,17,68,54,118,68,31,26,10,0,7,5,0,0,0,28.6,6,5,0,0,0,0,0,29,315,1457,33,50,8,1601,156,6,61,8.4,95,9.1,65521,1.44E-06,2.351789594
1400000US11001000502,1400000US11001001302,38.3,6294,2582,41,3712,59,374,5.9,4620,76.4,4516,74.7,95,1.6,1424,23.6,2640,72.8,359,115,244,14,7,7,18,5,58,40,18,269,63,206,100,100,100,100,100,97.7,98.7,96.9,0,0,7,0,0,0,0,0,0,0,0,7,78,340,352,204,118,38,0,0,0,9,0,7,22.5,0,0,0,21,0,49,13,48,1511,3137,26,106,0,4391,270,4.3,57,3.7,158,6.1,58790,5.88E-07,0.957903478
1400000US11001000600,1400000US11001000600,45.6,4919,2075,42.2,2844,57.8,630,12.8,2759,63.3,2727,62.6,24,0.6,1598,36.7,1502,56.3,306,88,218,31,5,26,34,15,21,5,16,220,63,157,93,99.4,94.2,88.3,100,95.1,95.7,94.7,0,0,0,0,0,0,0,0,0,0,9,5,49,282,251,105,20,7,0,0,8,0,0,0,19.5,0,38,0,18,17,41,0,65,1345,822,7,43,28,1965,206,4.8,56,8.3,137,12.5,89507,0.00014434,96.01340999
1400000US11001000600,1400000US11001001302,38.3,6294,2582,41,3712,59,374,5.9,4620,76.4,4516,74.7,95,1.6,1424,23.6,2640,72.8,359,115,244,14,7,7,18,5,58,40,18,269,63,206,100,100,100,100,100,97.7,98.7,96.9,0,0,7,0,0,0,0,0,0,0,0,7,78,340,352,204,118,38,0,0,0,9,0,7,22.5,0,0,0,21,0,49,13,48,1511,3137,26,106,0,4391,270,4.3,57,3.7,158,6.1,58790,3.10E-06,2.060432225
1400000US11001000600,1400000US11001001200,37.4,4856,2182,44.9,2674,55.1,281,5.8,3438,80.8,3383,79.5,55,1.3,819,19.2,1848,76.7,476,162,314,29,7,22,16,8,122,55,67,309,92,217,98.9,100,91.7,91.1,92.1,96.9,96.2,97.5,0,0,0,0,0,0,0,0,0,0,0,0,16,4,25,25,10,9,107,666,639,287,46,14,24.3,17,47,7,31,18,40,29,97,1270,1297,39,79,23,2428,349,7.2,97,10.4,153,11.4,77753,2.90E-06,1.926153639
