GEO_ID_2,ACSDE1,ACSde23,VD06,DEC1
1400000US24031705701,4366,4110,15,24
1400000US24031705901,4144,3507,7,15
1400000US24031706011,,,,
1400000US24033800106,2641,830,18,39
1400000US24033800209,3858,856,89,217
1400000US24033800214,,,,
1400000US24033800408,6379,1857,30,59
1400000US24033800413,,,,
1400000US24033800514,,,,
1400000US24033800519,,,,
1400000US24033800704,,,,
1400000US24033801005,,,,
1400000US24033801006,,,,
1400000US24033801209,,,,
1400000US24033801216,,,,
1400000US24033801308,3918,276,37,59
1400000US24033801313,,,,
1400000US24033801409,,,,
1400000US24033801702,3963,319,83,89
1400000US24033801801,2124,167,24,70
1400000US24033801805,2236,185,47,76
1400000US24033802104,2040,218,23,46
1400000US24033802203,5078,329,11,66
1400000US24033802406,2253,219,35,69
1400000US24033802600,3342,7,41,82
1400000US24031700308,5501,4286,83,208
1400000US24031700309,5331,2595,56,79
1400000US24031700310,4867,3030,80,115
1400000US24031700311,,,,
1400000US24031700312,,,,
1400000US24031700400,2170,2134,3,23
1400000US24031700500,6575,6174,35,88
1400000US24031700604,6726,5321,13,29
1400000US24031700606,4581,3104,6,26
1400000US24031700608,6148,3968,0,11
1400000US24031700610,2041,1648,11,11
1400000US24031700613,,,,
1400000US24031700614,,,,
1400000US24031700615,,,,
1400000US24031700616,,,,
1400000US24031700704,3117,1753,22,78
1400000US24031700706,2936,1462,43,61
1400000US24031700711,5899,3495,31,96
1400000US24031700713,5399,1484,76,157
1400000US24031700715,5478,3089,72,89
1400000US24031700716,8018,3667,68,135
1400000US24031700717,,,,
1400000US24031700719,,,,
1400000US24031700720,,,,
1400000US24031700721,,,,
1400000US24031700722,,,,
1400000US24031700724,,,,
1400000US24031700810,5113,2845,21,95
1400000US24031700811,4217,2047,30,53
1400000US24031700812,4025,2470,20,48
1400000US24031700101,4284,3675,17,42
1400000US24031700103,5830,4567,12,70
1400000US24031700104,,,,
1400000US24031700204,1872,1748,5,33
