OBJECTID,GEO.id,dec_lf16,dec_lf16p,dec_em16,dec_dec_em,dec_ue16,dec_ue16p,dec_nw16,dec_nw16p,dec_flf16,dec)flf16p
212,1400000US51059470600,74.8,63.5,1172,62.2,17,0.9,100.0,36.5,551,52.2
213,1400000US51059471000,55.6,71.5,1086,71.1,7,0.5,100.0,28.5,555,68.0
214,,,,,,,,,,,
215,,,,,,,,,,,
216,,,,,,,,,,,
217,,,,,,,,,,,
218,1400000US51059481000,80.8,78.5,2174,75.1,91,3.1,100.0,21.5,1015,71.4
219,,,,,,,,,,,
220,,,,,,,,,,,
221,,,,,,,,,,,
222,,,,,,,,,,,
223,,,,,,,,,,,
224,,,,,,,,,,,
225,,,,,,,,,,,
226,,,,,,,,,,,
227,,,,,,,,,,,
228,,,,,,,,,,,
229,,,,,,,,,,,
230,,,,,,,,,,,
231,1400000US51013100100,64.8,71.8,2338,70.0,44,1.3,100.0,28.2,1128,65.5
232,1400000US51013100400,66.3,67.2,1716,66.1,18,0.7,100.0,32.8,808,60.1
233,1400000US51013100800,75.6,64.3,765,63.7,7,0.6,100.0,35.7,357,56.0
234,,,,,,,,,,,
235,,,,,,,,,,,
236,,,,,,,,,,,
237,1400000US51013101900,61.0,79.0,1564,76.7,48,2.4,100.0,21.0,791,74.0
238,,,,,,,,,,,
239,,,,,,,,,,,
240,,,,,,,,,,,
241,1400000US51013103402,30.8,75.3,1985,67.2,43,1.5,100.0,24.7,801,59.4
242,,,,,,,,,,,
243,1400000US51510200103,63.7,71.7,3729,68.9,104,1.9,100.0,28.3,1879,66.7
244,,,,,,,,,,,
245,1400000US51510200301,58.8,78.0,2122,73.7,53,1.8,100.0,22.0,1084,71.1
246,,,,,,,,,,,
247,1400000US51510200500,63.7,80.2,2914,77.3,42,1.1,100.0,19.8,1556,73.6
248,1400000US51510200600,73.4,67.8,2398,65.0,78,2.1,100.0,32.2,1212,63.9
249,,,,,,,,,,,
250,,,,,,,,,,,
251,1400000US51510200900,72.5,68.5,2425,66.9,35,1.0,100.0,31.5,1167,61.5
252,1400000US51510201204,57.1,74.1,1647,68.3,107,4.4,100.0,25.9,769,68.4
253,1400000US51510201600,46.7,78.0,2432,73.0,121,3.6,100.0,22.0,1263,73.8
254,1400000US51510202001,62.4,70.1,1317,68.1,35,1.8,100.0,29.9,645,60.7
255,,,,,,,,,,,
256,1400000US51610500300,57.7,73.4,1959,69.9,89,3.2,100.0,26.6,919,65.1
257,1400000US51059415200,74.5,77.2,2002,74.0,62,2.3,100.0,22.8,1136,73.6
258,1400000US51059415300,69.2,68.1,1918,64.8,72,2.4,100.0,31.9,1003,63.6
259,,,,,,,,,,,
260,1400000US51059415500,73.9,63.8,2665,60.7,80,1.8,100.0,36.2,1347,54.9
261,1400000US51059415600,77.6,59.7,1164,56.5,7,0.3,100.0,40.3,497,48.0
262,1400000US51059415700,69.4,63.2,1568,59.1,13,0.5,100.0,36.8,752,52.8
263,1400000US51059415800,70.6,70.8,2308,67.0,30,0.9,100.0,29.2,1124,62.3
264,1400000US51059415900,79.5,66.5,1539,63.0,25,1.0,100.0,33.5,720,56.5
265,1400000US51059416100,79.9,65.6,1754,61.9,40,1.4,100.0,34.4,829,55.5
266,1400000US51059416200,81.3,75.6,824,34.3,127,5.3,100.0,24.4,593,49.5
267,1400000US51059416300,70.6,71.1,1034,69.0,11,0.7,100.0,28.9,478,63.0
268,,,,,,,,,,,
269,,,,,,,,,,,
270,,,,,,,,,,,
271,1400000US51059420300,69.1,73.7,2886,69.6,40,1.0,100.0,26.3,1405,67.2
272,,,,,,,,,,,
273,,,,,,,,,,,
274,,,,,,,,,,,
275,1400000US51059420600,58.4,68.8,2185,64.1,44,1.3,100.0,31.2,1079,65.8
276,1400000US51059420700,72.1,66.4,1828,62.1,56,1.9,100.0,33.6,874,58.7
277,,,,,,,,,,,
278,,,,,,,,,,,
279,,,,,,,,,,,
280,,,,,,,,,,,
281,,,,,,,,,,,
282,1400000US51059421300,73.7,84.7,2373,78.3,84,2.8,100.0,15.3,1174,78.2
283,1400000US51059421400,66.0,73.5,3040,67.0,162,3.6,100.0,26.5,1534,67.3
284,1400000US51059421500,65.9,63.2,2414,59.4,126,3.1,100.0,36.8,1124,54.4
285,,,,,,,,,,,
286,,,,,,,,,,,
287,1400000US51059421900,73.3,81.1,612,34.5,74,4.2,100.0,18.9,451,50.2
288,1400000US51059422000,81.7,55.2,1068,49.3,45,2.1,100.0,44.8,556,48.1
289,,,,,,,,,,,
290,,,,,,,,,,,
291,,,,,,,,,,,
292,,,,,,,,,,,
293,,,,,,,,,,,
294,,,,,,,,,,,
295,,,,,,,,,,,
296,,,,,,,,,,,
297,,,,,,,,,,,
298,,,,,,,,,,,
299,,,,,,,,,,,
