OBJECTID,GEO.id,acs_moc,acs_foc,acs_mrc,acs_frc,acs_mo,acs_fo,acs_mr,acs_fr,acs_oo,acs_ro
635,1400000US24031700610,0,18,0,0,2,11,0,0,625,51
636,1400000US24031700613,0,92,8,35,13,35,24,26,1632,341
637,1400000US24031700614,0,59,0,88,11,47,0,0,1330,794
638,1400000US24031700615,23,56,0,0,0,16,0,0,971,37
639,1400000US24031700616,0,63,0,0,12,28,0,0,1433,42
640,1400000US24031700704,11,29,19,66,46,11,40,0,691,344
641,1400000US24031700706,0,44,50,142,11,40,7,24,392,945
642,1400000US24031700711,0,66,22,54,97,65,29,3,1367,568
643,1400000US24031700713,40,26,103,116,0,29,46,10,754,1194
644,1400000US24031700715,0,124,0,42,50,109,0,32,1507,236
645,1400000US24031700716,0,168,52,42,97,124,0,13,2236,380
646,1400000US24031700717,0,58,52,94,94,59,57,50,1331,805
647,1400000US24031700719,0,18,0,138,75,101,92,240,999,1134
648,1400000US24031700720,9,15,0,109,8,0,49,18,653,509
649,1400000US24031700721,0,16,0,181,0,50,0,13,622,689
650,1400000US24031700722,0,89,57,139,33,16,0,0,900,783
651,1400000US24031700724,0,0,84,0,0,0,83,66,94,1075
652,1400000US24031700810,0,12,38,123,10,120,0,0,1470,248
653,1400000US24031700811,0,51,0,133,25,162,0,8,1135,341
654,1400000US24031700812,17,57,22,0,96,61,0,41,1373,290
655,1400000US24031700101,27,51,0,3,2,25,0,0,1311,59
656,1400000US24031700103,19,53,0,3,29,51,0,0,1751,87
657,1400000US24031700104,9,137,0,29,0,126,0,0,1661,151
658,1400000US24031700204,0,13,0,0,0,17,0,0,688,35
659,1400000US24031700205,11,80,0,29,9,32,0,4,1709,66
660,1400000US24031700206,22,64,0,28,22,76,0,13,1793,115
661,1400000US24031700207,65,84,0,267,12,36,0,30,1515,441
662,1400000US24031700208,0,28,0,0,11,22,0,0,614,34
663,1400000US24031700306,99,39,9,18,16,98,0,19,2139,285
664,1400000US24031700813,13,177,0,74,35,105,0,72,1673,382
665,1400000US24031700816,31,64,49,150,85,117,43,34,1465,1454
666,1400000US24031700817,0,42,14,160,0,27,0,44,959,1521
667,1400000US24031700818,0,41,0,178,61,38,83,99,589,1983
668,1400000US24031700819,20,85,0,140,104,143,14,20,1904,380
669,1400000US24031700822,48,22,0,21,28,0,0,0,520,224
670,1400000US24031700823,16,13,14,0,34,38,0,0,932,202
671,1400000US24033803300,0,61,44,88,0,184,47,9,1102,445
672,1400000US24033803401,0,73,16,33,26,36,0,20,338,115
673,1400000US24033803402,0,170,43,214,56,173,9,61,986,751
674,1400000US24033803508,10,21,134,388,46,72,39,91,588,1037
675,1400000US24033803509,0,28,59,259,16,8,38,121,105,857
676,1400000US24033803513,12,148,18,91,74,114,35,109,1550,550
677,1400000US24033803514,0,63,26,189,11,89,8,40,1028,856
678,1400000US24033803516,61,169,14,49,23,144,0,0,1586,121
679,1400000US24033806711,2,62,25,189,11,53,12,55,801,653
680,1400000US24033806713,0,0,53,340,0,0,27,111,0,1374
681,1400000US24033806714,0,0,127,80,0,0,102,88,0,1304
682,1400000US24033806800,5,15,0,0,39,119,16,14,1118,195
683,1400000US24033806900,7,43,0,107,31,91,2,15,1114,326
684,1400000US24033807000,0,44,0,0,65,68,39,33,924,962
