OBJECTID,GEO.id,dec_10kl,dec_1015,dec_1519,dec_2025,dec_2530_x,dec_3035,dec_3540,dec_4050,dec_5059,dec_6069,dec_7079,dec_8089,dec_9099,dec_1124,dec_12549,dec_15074,dec_17599,dec_20049,dec_25099,dec_30099,dec_40099,dec_500749,dec_2530_y,dec_1000
127,1400000US11001004802,0,0,0,0,0,0,0,0,0,0,6,13,26,0,0,17,0,17,0,28,0,0,0,0
128,1400000US11001004902,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,22,5,7,0,15,0,0,0,0
129,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,
131,1400000US11001005201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,16,17,36,41,0,8
132,1400000US11001005301,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,40,42,0,0
133,1400000US11001005500,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,9,0,35,10,18,0,0
134,1400000US11001005800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,12,10,0,0
135,1400000US11001005900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
136,1400000US11001006202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,1400000US11001006500,0,0,0,0,0,0,0,0,7,0,0,0,0,12,10,19,56,57,137,106,83,39,0,0
138,1400000US11001006600,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,9,59,51,131,52,76,0,5
139,1400000US11001006700,0,0,0,0,0,0,0,0,0,6,19,0,26,62,40,73,46,142,141,243,51,48,0,0
140,1400000US11001006802,7,0,0,0,0,0,0,0,0,7,23,22,63,69,131,32,97,12,0,0,6,5,0,0
141,1400000US11001006804,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,20,0,0,0,0,0,0,0,0
142,1400000US11001006900,0,0,0,0,0,0,0,0,0,0,7,0,24,60,71,106,66,63,59,16,0,0,0,0
143,1400000US11001007000,14,0,0,0,0,0,0,0,0,7,0,0,18,13,28,12,49,127,81,51,11,11,0,0
144,1400000US11001007200,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0
145,1400000US11001007301,0,0,0,7,0,0,0,0,0,0,0,7,15,0,14,0,0,0,0,0,0,0,0,0
146,1400000US11001007304,0,0,0,0,0,0,0,0,0,11,19,33,92,63,50,0,0,0,6,0,0,0,0,0
