OBJECTID,GEO.id,acs_bpl,acs_bplp,acs_bplm,acs_bplf,acs_bplmp,acs_bplfp
275,1400000US51059420600,205,4.9,89,116,3.8,6.1
276,1400000US51059420700,33,0.8,14,19,0.7,1.0
277,1400000US51059421001,33,1.1,7,26,0.5,1.8
278,1400000US51059421002,244,4.9,75,169,2.9,7.2
279,1400000US51059421101,30,0.5,12,18,0.4,0.6
280,1400000US51059421102,144,4.1,57,87,3.7,4.4
281,1400000US51059421103,79,1.5,29,50,1.2,1.7
282,1400000US51059421300,82,2.2,50,32,2.6,1.8
283,1400000US51059421400,936,16.1,368,568,13.7,18.1
284,1400000US51059421500,1152,17.4,416,736,12.5,22.3
285,1400000US51059421701,613,15.0,311,302,14.1,16.1
286,1400000US51059421702,186,4.3,113,73,5.0,3.6
287,1400000US51059421900,160,7.3,83,77,6.7,7.9
288,1400000US51059422000,144,3.9,52,92,2.9,4.9
289,1400000US51059422101,309,4.6,73,236,2.0,7.4
290,1400000US51059422102,224,3.8,143,81,5.3,2.5
291,1400000US51059422201,59,1.9,30,29,1.9,1.9
292,1400000US51059422202,148,2.8,22,126,0.8,4.6
293,1400000US51059422302,256,4.6,48,208,2.0,6.8
294,1400000US51059422402,166,3.3,42,124,1.6,5.2
295,1400000US51059422403,17,0.7,17,0,1.3,0.0
296,1400000US51059430101,82,1.8,44,38,2.0,1.6
297,1400000US51059430102,122,4.5,48,74,4.2,4.7
298,1400000US51059430201,186,4.1,86,100,4.0,4.1
299,1400000US51059430202,543,10.0,341,202,12.7,7.4
300,1400000US51059430400,136,1.9,56,80,1.5,2.3
301,1400000US51059430600,1292,17.1,616,676,16.0,18.3
302,1400000US51059430700,64,2.3,0,64,0.0,4.8
303,1400000US51059430801,160,3.8,66,94,3.2,4.4
304,1400000US51059430802,0,0.0,0,0,0.0,0.0
305,1400000US51059430902,83,2.5,58,25,3.2,1.6
306,1400000US51059431001,55,1.2,55,0,2.3,0.0
307,1400000US51059431002,110,5.3,0,110,0.0,9.7
308,1400000US51059431300,0,0.0,0,0,0.0,0.0
309,1400000US51059431400,189,4.0,87,102,3.9,4.1
310,1400000US51059431500,321,6.1,100,221,3.9,8.1
311,1400000US51059431600,395,4.9,212,183,5.7,4.3
312,1400000US51059431802,69,2.0,69,0,4.3,0.0
313,1400000US51059432000,210,6.4,101,109,6.3,6.5
314,1400000US51059432100,307,8.6,118,189,7.2,9.7
315,1400000US51059432201,75,4.1,39,36,4.4,3.8
316,1400000US51059432202,197,4.3,37,160,1.6,6.9
317,1400000US51059432401,11,0.3,11,0,0.6,0.0
318,1400000US51059432402,58,1.2,41,17,1.8,0.6
319,1400000US51059432500,28,0.5,13,15,0.4,0.5
320,1400000US51059432600,188,3.7,51,137,2.0,5.3
321,1400000US51059432701,77,2.4,38,39,2.4,2.5
322,1400000US51059432800,421,18.7,127,294,12.2,24.4
323,1400000US51059440100,385,5.2,236,149,6.4,3.9
324,1400000US51059440201,157,8.0,70,87,6.9,9.1
325,1400000US51059440202,90,1.5,62,28,2.2,0.9
326,1400000US51059440300,15,0.5,15,0,1.1,0.0
327,1400000US51059440501,246,4.8,150,96,6.1,3.6
328,1400000US51059440502,187,9.3,86,101,8.2,10.5
329,1400000US51059440701,34,1.2,34,0,2.5,0.0
330,1400000US51059440702,23,0.4,0,23,0.0,0.9
331,1400000US51059440800,271,4.4,140,131,4.9,4.0
332,1400000US51059450100,132,2.6,33,99,1.4,3.6
333,1400000US51059450300,336,6.8,236,100,9.8,3.9
334,1400000US51059450400,35,1.3,9,26,0.7,1.9
335,1400000US51059450601,49,1.4,0,49,0.0,2.8
336,1400000US51059450602,545,13.2,114,431,6.8,17.7
337,1400000US51059450701,88,3.0,88,0,5.6,0.0
338,1400000US51059450800,33,1.0,20,13,1.3,0.7
339,1400000US51059450900,126,7.2,64,62,7.7,6.8
340,1400000US51059451000,89,3.7,49,40,3.9,3.4
341,1400000US51059451100,49,2.3,29,20,2.8,1.8
342,1400000US51059451200,0,0.0,0,0,0.0,0.0
343,1400000US51059451400,753,27.8,388,365,28.4,27.2
344,1400000US51059451501,834,14.9,502,332,15.3,14.4
345,1400000US51059451502,141,3.4,30,111,1.5,5.3
346,1400000US51059451601,921,18.2,662,259,18.6,17.1
347,1400000US51059451602,22,0.9,0,22,0.0,1.5
348,1400000US51059451800,247,7.5,144,103,8.5,6.4
349,1400000US51059452000,299,11.0,136,163,10.1,11.8
350,1400000US51059452101,266,5.5,31,235,1.6,8.1
351,1400000US51059452200,72,1.2,28,44,0.9,1.6
352,1400000US51059452301,851,24.6,525,326,30.0,19.0
353,1400000US51059452302,158,3.4,58,100,2.7,4.0
354,1400000US51059452400,286,4.2,55,231,1.7,6.4
355,1400000US51059452501,314,8.0,58,256,3.1,12.7
356,1400000US51059452600,255,5.6,83,172,3.9,7.2
357,1400000US51059452700,696,13.5,358,338,14.7,12.4
358,1400000US51059452801,564,13.7,208,356,9.5,18.5
359,1400000US51059460100,54,1.2,22,32,1.0,1.4
360,1400000US51059460400,273,5.6,35,238,1.6,8.9
361,1400000US51059460501,102,4.1,25,77,2.1,6.0
362,1400000US51059460502,129,1.9,12,117,0.4,3.3
363,1400000US51059460701,383,11.4,160,223,9.6,13.3
364,1400000US51059460702,221,5.1,107,114,4.8,5.3
365,1400000US51059460800,116,3.7,51,65,3.0,4.5
366,1400000US51059460900,8,0.3,0,8,0.0,0.7
367,1400000US51059461100,388,5.3,121,267,3.0,7.9
368,1400000US51059461201,35,0.8,0,35,0.0,1.5
369,1400000US51059461202,569,12.7,114,455,5.8,18.0
370,1400000US51059461500,217,3.4,121,96,3.5,3.2
371,1400000US51059461602,249,6.4,56,193,2.8,10.3
372,1400000US51059461700,215,3.5,79,136,2.5,4.4
373,1400000US51059461801,91,8.4,30,61,6.3,10.1
374,1400000US51059461802,277,6.2,157,120,8.1,4.7
375,1400000US51059461902,193,10.5,108,85,9.8,11.6
376,1400000US51059470100,34,1.2,0,34,0.0,2.3
377,1400000US51059470300,33,1.0,0,33,0.0,2.0
378,1400000US51059470400,45,1.0,11,34,0.5,1.6
379,1400000US51059470500,202,4.1,78,124,3.1,5.1
380,1400000US51059470700,214,4.3,65,149,2.8,5.5
381,1400000US51059470800,34,1.2,9,25,0.7,1.7
382,1400000US51059470900,256,3.6,117,139,3.5,3.6
383,1400000US51059471100,344,5.4,151,193,4.8,5.9
384,1400000US51059471201,111,4.2,12,99,1.0,7.1
385,1400000US51059471202,105,2.6,73,32,3.7,1.6
386,1400000US51059471301,152,4.9,0,152,0.0,9.8
387,1400000US51059471304,0,0.0,0,0,0.0,0.0
388,1400000US51059471401,233,7.0,72,161,5.2,8.4
389,1400000US51059471402,404,11.9,155,249,9.9,13.5
390,1400000US51059480100,17,0.4,7,10,0.3,0.5
391,1400000US51059480201,108,2.7,34,74,1.6,3.8
392,1400000US51059480203,94,4.6,0,94,0.0,8.0
393,1400000US51059480300,126,1.7,61,65,1.6,1.9
394,1400000US51059480401,105,2.3,42,63,1.9,2.7
395,1400000US51059480402,119,1.8,35,84,1.1,2.5
396,1400000US51059480502,365,5.9,134,231,4.6,7.1
397,1400000US51059480503,88,2.4,27,61,1.4,3.4
398,1400000US51059480504,40,2.2,14,26,1.8,2.4
399,1400000US51059480505,43,1.5,31,12,2.1,0.8
400,1400000US51059480801,33,0.8,13,20,0.6,1.0
401,1400000US51059480901,413,6.1,226,187,6.9,5.4
402,1400000US51059480902,220,5.7,76,144,3.5,8.7
403,1400000US51059480903,72,1.9,35,37,1.9,1.8
404,1400000US51059481101,30,1.8,0,30,0.0,3.9
405,1400000US51059481102,147,5.8,59,88,4.7,6.8
406,1400000US51059481103,153,4.7,65,88,3.8,5.6
407,1400000US51059481105,37,0.7,25,12,1.0,0.4
408,1400000US51059481106,26,0.5,0,26,0.0,0.9
409,1400000US51059481201,0,0.0,0,0,0.0,0.0
410,1400000US51059481202,845,14.4,329,516,11.0,18.0
411,1400000US51059481400,547,9.3,132,415,4.9,13.1
412,1400000US51059481500,0,0.0,0,0,0.0,0.0
413,1400000US51059481600,78,2.3,8,70,0.5,4.0
414,1400000US51059481702,263,7.1,157,106,8.6,5.6
