GEO_ID_2,HD01_VD01
1400000US24033800515,89786
1400000US24033800516,83725
1400000US24033800517,160934
1400000US24033800518,157311
1400000US24033800520,93049
1400000US24033800601,101191
1400000US24033800604,111667
1400000US24033800605,110833
1400000US24033800606,80875
1400000US24033800607,135000
1400000US24033800608,148222
1400000US24033800701,127381
1400000US24033800705,111148
1400000US24033800706,109750
1400000US24033800707,84211
1400000US24033800800,107955
1400000US24033800900,63625
1400000US24033801003,96250
1400000US24033801004,108167
1400000US24033801104,59045
1400000US24033801207,121250
1400000US24033801208,107188
1400000US24033801210,78877
1400000US24033801211,94688
1400000US24033801212,92581
1400000US24033801213,80000
1400000US24033801214,83081
1400000US24033801215,104286
1400000US24033801217,107857
1400000US24033801302,101603
1400000US24033801305,93167
1400000US24033801307,129421
1400000US24033801309,125893
1400000US24033801310,124421
1400000US24033801311,103472
1400000US24033801312,83641
1400000US24033801404,83778
1400000US24033801405,64709
1400000US24033801406,58362
1400000US24033801407,86458
1400000US24033801408,66114
1400000US24033801410,112550
1400000US24033801411,72204
1400000US24033801500,75000
1400000US24033801600,54188
1400000US24033801701,74914
1400000US24033801704,50378
1400000US24033801706,65064
1400000US24033801707,59203
1400000US24033801708,62716
1400000US24033801802,52310
1400000US24033801804,74741
1400000US24033801807,63197
1400000US24033801808,53719
1400000US24033801901,83585
1400000US24033801904,58464
1400000US24033801905,87500
1400000US24033801906,65313
1400000US24033801907,62518
1400000US24033802001,54963
1400000US24033802002,74464
1400000US24033802103,88819
1400000US24033802106,49431
1400000US24033802107,53467
1400000US24033802201,52625
1400000US24033802204,78281
1400000US24033802301,80417
1400000US24033802404,48040
1400000US24033802405,52961
1400000US24033802407,47679
1400000US24033802408,42500
1400000US24033802501,54914
1400000US24033802502,72031
1400000US24033802700,48272
1400000US24033802803,60130
1400000US24033802804,65941
1400000US24033802805,55444
1400000US24033802901,46821
