GEO_ID,GEO_ID_1,DEC_MA,DEC_AAP,DPB,DPL,D25PH,D25PB,DEC_16P,DC_NW16,DEC_100,DEC_MGR,DEC_MI,DEC_BPLP,DEC_BPLM,DEC_BPLF,DEC_POO,DEC_PRO,DEC_FOC,DEC_FRC,AREA,PERCENTAGE
1400000US11001005001,1400000US11001004400,33.6,58.8,0.313793103,0.234482759,0.160651921,42,3.1,30.8,0,971.278,55632.5,0.203150912,0.089552239,0.113598673,0.460854093,0.539145907,0.03202847,0.053380783,7.33413312883e-07,3.45554496832
1400000US11001005001,1400000US11001004901,34.4,78.5,0.185430464,0.437086093,0.198435277,27,8.9,42.4,0,454.223,24805.55,0.353184878,0.154324184,0.198860694,0.292654028,0.707345972,0.009478673,0.120853081,3.22816541893e-07,1.52098013144
1400000US11001005001,1400000US11001005000,33.1,37,0.260377358,0.395283019,0.159630607,36.5,5.4,28,0.030651341,797.181,43533.41,0.273417023,0.163194923,0.1102221,0.229385722,0.770614278,0.008577753,0.022966242,2.01680160209e-05,95.0234813819
1400000US11001005002,1400000US11001004902,28.8,60.1,0.109489051,0.433090024,0.222482436,23.1,4.3,27.6,0,763.147,40116.92,0.186265709,0.103231598,0.083034111,0.100798403,0.899201597,0.0,0.105788423,8.61291171548e-08,0.358380355324
1400000US11001005002,1400000US11001005000,33.1,37,0.260377358,0.395283019,0.159630607,36.5,5.4,28,0.030651341,797.181,43533.41,0.273417023,0.163194923,0.1102221,0.229385722,0.770614278,0.008577753,0.022966242,2.39467506137e-05,99.6416226859
1400000US11001005201,1400000US11001004201,32.1,14.2,0.861035422,0,0.059722716,77.2,2.4,11,0.02745098,1102.178,70031.5,0.089610003,0.051801131,0.037808872,0.329026304,0.670973696,0.004614675,0.013382557,3.71073031348e-08,0.103323312856
1400000US11001005201,1400000US11001004300,33.0,39,0.292929293,0.202020202,0.100262861,47.9,3.4,30,0,858.704,52151.87,0.197725284,0.101778944,0.09594634,0.243943662,0.756056338,0.008450704,0.053521127,7.63471735401e-07,2.12584645903
1400000US11001005201,1400000US11001004400,33.6,58.8,0.313793103,0.234482759,0.160651921,42,3.1,30.8,0,971.278,55632.5,0.203150912,0.089552239,0.113598673,0.460854093,0.539145907,0.03202847,0.053380783,2.68888931712e-08,0.0748706935499
1400000US11001005201,1400000US11001005000,33.1,37,0.260377358,0.395283019,0.159630607,36.5,5.4,28,0.030651341,797.181,43533.41,0.273417023,0.163194923,0.1102221,0.229385722,0.770614278,0.008577753,0.022966242,1.42711523855e-06,3.97372651249
1400000US11001005201,1400000US11001005100,40.4,24.9,0.75,0.25,0.101488498,51.3,2.6,39.2,0,979.132,47451.25,0.094133697,0.025920873,0.068212824,0.109734513,0.890265487,0.0,0.010619469,8.94539183614e-09,0.0249079680068
1400000US11001005201,1400000US11001005201,33.7,23.2,0.628099174,0.022727273,0.104554029,62.1,4.1,22.2,0.059259259,901.901,46549.35,0.193832599,0.084801762,0.109030837,0.236261928,0.763738072,0.0,0.034221783,3.203842911e-05,89.2093026086
1400000US11001005201,1400000US11001005202,30.1,21.4,0.426966292,0.084269663,0.153271028,57.4,2.9,30,0,831.215,37682.18,0.259590793,0.083120205,0.176470588,0.017892644,0.982107356,0.0,0.013916501,1.2481021638e-07,0.347527412265
1400000US11001005201,1400000US11001005301,32.9,7.1,0.856481481,0.052469136,0.050153049,79.4,2.6,10.5,0,1032.801,66117.59,0.087077535,0.036580517,0.050497018,0.333152763,0.666847237,0.003791983,0.01056338,1.48700877271e-06,4.14049687427
1400000US11001005301,1400000US11001004201,32.1,14.2,0.861035422,0,0.059722716,77.2,2.4,11,0.02745098,1102.178,70031.5,0.089610003,0.051801131,0.037808872,0.329026304,0.670973696,0.004614675,0.013382557,3.86637672017e-07,1.29119427028
1400000US11001005301,1400000US11001004202,33.6,7.4,0.762068966,0.151724138,0.049329124,80.3,2,15.8,0.040816327,979.132,62498.21,0.078686281,0.046185426,0.032500855,0.295502092,0.704497908,0.0,0.0,1.83604223811e-06,6.13154741355
1400000US11001005301,1400000US11001005301,32.9,7.1,0.856481481,0.052469136,0.050153049,79.4,2.6,10.5,0,1032.801,66117.59,0.087077535,0.036580517,0.050497018,0.333152763,0.666847237,0.003791983,0.01056338,2.76683214205e-05,92.3996306413
1400000US11001005301,1400000US11001005500,34.4,8.2,0.606060606,0,0.045081967,81.5,1,20.1,0,1195.117,78028.18,0.127791289,0.061021446,0.066769843,0.335166514,0.664833486,0.0,0.002749771,5.31905543633e-08,0.177632300206
1400000US11001005500,1400000US11001000100,40.7,4,0.5625,0.25,0.058467742,83.4,1.4,26.9,0.147716229,1284.129,121134.86,0.05198973,0.023962345,0.028027386,0.531204112,0.468795888,0.009544787,0.003671072,3.78198041419e-06,5.54943708569
1400000US11001005500,1400000US11001004100,42.8,3.8,0.811023622,0.062992126,0.039059032,81.8,0.9,22.6,0.615658363,1141.448,115414.53,0.036493455,0.027370091,0.009123364,0.460468058,0.539531942,0.004427577,0.0,1.27487564566e-06,1.87067129198
1400000US11001005500,1400000US11001004202,33.6,7.4,0.762068966,0.151724138,0.049329124,80.3,2,15.8,0.040816327,979.132,62498.21,0.078686281,0.046185426,0.032500855,0.295502092,0.704497908,0.0,0.0,8.76740997852e-07,1.28647387749
1400000US11001005500,1400000US11001005500,34.4,8.2,0.606060606,0,0.045081967,81.5,1,20.1,0,1195.117,78028.18,0.127791289,0.061021446,0.066769843,0.335166514,0.664833486,0.0,0.002749771,6.20182205533e-05,91.0015852636
1400000US11001005500,1400000US11001005600,29.0,6,0.173637516,0.003802281,0.070978821,70,2.6,42.2,0,1110.032,51425.37,0.246128433,0.079909147,0.166219286,0.347862767,0.652137233,0.0,0.003937008,1.98885700168e-07,0.29183220415
1400000US11001005600,1400000US11001000100,40.7,4,0.5625,0.25,0.058467742,83.4,1.4,26.9,0.147716229,1284.129,121134.86,0.05198973,0.023962345,0.028027386,0.531204112,0.468795888,0.009544787,0.003671072,4.34900346717e-06,8.93613720802
1400000US11001005600,1400000US11001005500,34.4,8.2,0.606060606,0,0.045081967,81.5,1,20.1,0,1195.117,78028.18,0.127791289,0.061021446,0.066769843,0.335166514,0.664833486,0.0,0.002749771,7.86138407328e-07,1.61532192959
1400000US11001005600,1400000US11001005600,29.0,6,0.173637516,0.003802281,0.070978821,70,2.6,42.2,0,1110.032,51425.37,0.246128433,0.079909147,0.166219286,0.347862767,0.652137233,0.0,0.003937008,4.30220488946e-05,88.3997759013
1400000US11001005600,1400000US11001006202,47.0,41.7,#DIV/0!,#DIV/0!,#DIV/0!,(X),(X),(X),0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.0,0.0,5.10409020004e-07,1.048765555
1400000US11001005800,1400000US11001004700,32.1,92.1,0.043589744,0.443589744,0.277647059,10.4,10.8,56.8,0,325.941,18466.06,0.368319692,0.141068849,0.227250843,0.06954023,0.93045977,0.004022989,0.255747126,5.42798695261e-07,0.570184997126
1400000US11001005800,1400000US11001004802,33.6,76.1,0.145962733,0.406832298,0.312465678,12.4,7.8,40.6,0,692.461,36074.73,0.210290055,0.103936464,0.106353591,0.16057774,0.83942226,0.033135089,0.212404418,1.35693984888e-08,0.0142540273325
1400000US11001005800,1400000US11001004902,28.8,60.1,0.109489051,0.433090024,0.222482436,23.1,4.3,27.6,0,763.147,40116.92,0.186265709,0.103231598,0.083034111,0.100798403,0.899201597,0.0,0.105788423,4.37732108598e-07,0.459817393192
1400000US11001005800,1400000US11001005100,40.4,24.9,0.75,0.25,0.101488498,51.3,2.6,39.2,0,979.132,47451.25,0.094133697,0.025920873,0.068212824,0.109734513,0.890265487,0.0,0.010619469,1.70441536848e-06,1.79040974207
