,GEO.id,HC01_VC32,HC01_VC23,HC02_VC23,sdsdsds89
744,1400000US51059491700,63.9,10.5,8.2,1679
745,1400000US51059491800,57.9,12.0,11.4,917
746,1400000US51059491900,65.9,9.7,8.0,198
747,1400000US51059492000,72.0,7.6,4.5,315
748,1400000US51059492100,67.8,7.0,3.9,404
749,1400000US51059492200,65.9,9.7,6.6,541
750,1400000US51059492300,48.7,16.5,14.3,251
751,1400000US51059492400,39.7,17.4,18.4,239
752,1400000US51510200101,61.3,10.4,8.8,699
753,1400000US51510200102,52.3,13.3,13.7,499
754,1400000US51510200103,35.8,22.2,21.1,716
755,1400000US51510200104,46.0,15.6,15.1,479
756,1400000US51510200105,42.3,15.3,12.6,430
757,1400000US51510200201,53.1,14.1,14.0,197
758,1400000US51510200202,74.0,4.7,0.0,97
759,1400000US51510200301,38.1,17.4,17.8,559
760,1400000US51510200302,49.2,17.4,13.4,404
761,1400000US51510200303,45.0,11.3,8.3,372
762,1400000US51510200401,54.5,11.2,10.3,960
763,1400000US51510200402,45.2,16.9,14.0,562
764,1400000US51510200500,60.6,11.9,7.1,692
765,1400000US51510200600,33.6,24.9,25.8,323
766,1400000US51510200700,60.9,12.7,13.8,361
767,1400000US51510200801,70.5,7.2,6.0,111
768,1400000US51510200802,59.7,11.9,8.6,209
769,1400000US51510200900,73.9,6.9,4.7,180
770,1400000US51510201000,75.8,5.8,3.2,61
771,1400000US51510201100,72.6,4.9,4.8,127
772,1400000US51510201202,52.4,14.4,14.4,226
773,1400000US51510201203,17.3,11.8,11.0,1085
774,1400000US51510201204,22.1,24.1,24.6,278
775,1400000US51510201300,49.6,13.1,13.0,178
776,1400000US51510201400,59.9,11.4,10.2,228
777,1400000US51510201500,70.6,8.9,7.3,98
778,1400000US51510201600,55.8,15.1,13.9,401
779,1400000US51510201801,70.0,8.1,5.1,132
780,1400000US51510201802,71.6,6.9,3.3,83
781,1400000US51510201900,79.6,5.4,3.7,150
782,1400000US51510202001,85.0,3.9,1.8,39
783,1400000US51510202002,75.3,4.9,3.4,85
784,1400000US51610500100,68.8,12.4,6.1,109
785,1400000US51610500200,55.3,14.3,11.7,189
786,1400000US51610500300,71.4,10.5,4.1,171
