GEO_ID,ten_1,ten_2
1400000US11001007901,-1.359965014,0.026766952
1400000US11001007903,0.265658326,0.016980407
1400000US11001008001,0.526367627,0.01541089
1400000US11001008002,-0.09245635,0.019136322
1400000US11001008100,-0.472076941,0.021421706
1400000US11001008200,-1.212447126,0.025878867
1400000US11001008301,0.250189388,0.017073533
1400000US11001008302,0.191764717,0.01742526
1400000US11001008402,-1.628192689,0.02838173
1400000US11001008410,0.736779947,0.014144171
1400000US11001008701,0.502517036,0.015554475
1400000US11001008702,-0.868089329,0.023805772
1400000US11001008802,-0.816482174,0.023495087
1400000US11001008803,-2.238087052,0.032053404
1400000US11001008804,-1.943915483,0.030282438
1400000US11001008903,-2.208466408,0.031875082
