GEO_ID,ACS_MA,ACS_AAPp,ACS_24pb,ACS_24plh,ACS_25ph,ACS_25pb,ASC_UEP,ACS_NWP,ACS_p1000,ACS_MGR,ACS_OO,ACS_RO,ACS_FOC,ACS_FRC,ACS_BPL,ACS_MBPL,ACS_FBPL,ACS_MI
1400000US11001007409,24.9,98.7,13.2,3.4,47.8,8.5,9.1,38.6,0.03125,774,0.237196765,0.762803235,0.041105121,0.21967655,34.2,29.4,37.5,26636
1400000US11001007502,29.7,98.4,52.8,4.2,40.1,13,9.1,49.3,0.055813953,775,0.269930948,0.730069052,0.02950408,0.136220967,37.8,38.7,37.1,31179
1400000US11001007503,33.3,100,29.1,0,44.4,9,15.5,39.5,0,874,0.262101535,0.737898465,0.015348288,0.173553719,37.8,39.9,36.1,31551
1400000US11001007504,28.8,96.8,84.8,0,38.3,11.5,2.9,49.4,0,709,0.206409048,0.793590952,0.008482564,0.28934967,47.6,34.8,58.7,20625
1400000US11001007601,45.4,97.3,36.2,0,47.2,11.7,11.2,47.1,0,779,0.500548246,0.499451754,0.034539474,0.05372807,19.4,18.4,20.1,37687
1400000US11001007603,41.7,89.1,54.3,0,27.2,27.2,9.5,32.3,0.059620596,881,0.536077482,0.463922518,0,0.144794189,12.5,9.7,14.6,49744
1400000US11001007604,48.3,93.5,36.2,0,37.1,21.3,7.1,43.3,0.016447368,816,0.344671202,0.655328798,0,0.06292517,21.2,23.8,19.3,43968
1400000US11001007605,42.4,95.4,24,3.5,39.3,17.8,7.9,39.8,0,850,0.181872749,0.818127251,0.006002401,0.085234094,28.5,26.4,30.2,42152
1400000US11001007703,27.8,93.7,19.9,8,35.7,10.8,15.8,30,0.027597403,816,0.279872785,0.720127215,0.007269423,0.194002726,26.3,22.9,28.7,31955
1400000US11001007707,33.8,96.2,23.2,0,32.8,19.3,8.3,39.7,0.023668639,630,0.585991678,0.414008322,0.006934813,0.191400832,16.1,10.9,19.7,38571
