OBJECTID,GEO.id,dec_ma,dec_tp,dec_tpp,dec_mp,dec_mpp,dec_fp,dec_fpp,dec_aap,dec_aapp
166,1400000US11001009905,32.3,2670,100.0,1226,45.9,1444,54.1,2631,98.5
167,1400000US11001009907,25.3,3037,100.0,1299,42.8,1738,57.2,2990,98.5
168,,,,,,,,,,
169,,,,,,,,,,
170,,,,,,,,,,
171,,,,,,,,,,
172,,,,,,,,,,
173,,,,,,,,,,
174,,,,,,,,,,
175,,,,,,,,,,
176,,,,,,,,,,
177,1400000US11001001902,44.5,2062,100.0,945,45.8,1117,54.2,1841,89.3
178,1400000US11001008100,35.0,2527,100.0,1333,52.8,1194,47.2,820,32.4
179,1400000US11001000801,41.1,6721,100.0,2826,42.0,3895,58.0,292,4.3
180,1400000US51059415100,41.6,3237,100.0,1590,49.1,1647,50.9,325,10.0
181,,,,,,,,,,
182,1400000US51059416000,37.7,4080,100.0,1995,48.9,2085,51.1,707,17.3
183,1400000US51059420100,37.7,3371,100.0,1693,50.2,1678,49.8,342,10.1
184,1400000US51059420800,39.0,3358,100.0,1674,49.9,1684,50.1,221,6.6
185,1400000US51059421200,41.5,2053,100.0,1015,49.4,1038,50.6,148,7.2
186,1400000US51059421600,29.8,5549,100.0,2766,49.8,2783,50.2,2609,47.0
187,1400000US51059421800,31.6,4568,100.0,2090,45.8,2478,54.2,1707,37.4
188,,,,,,,,,,
189,,,,,,,,,,
190,,,,,,,,,,
191,1400000US51059430500,38.6,1686,100.0,840,49.8,846,50.2,64,3.8
192,,,,,,,,,,
193,,,,,,,,,,
194,1400000US51059431900,42.0,3433,100.0,1743,50.8,1690,49.2,111,3.2
195,1400000US51059432300,39.4,4949,100.0,2453,49.6,2496,50.4,224,4.5
196,,,,,,,,,,
197,1400000US51059440600,37.9,2437,100.0,1243,51.0,1194,49.0,87,3.6
198,1400000US51059450200,30.5,4596,100.0,2409,52.4,2187,47.6,254,5.5
199,1400000US51059450500,35.4,2856,100.0,1447,50.7,1409,49.3,48,1.7
200,,,,,,,,,,
201,1400000US51059451300,43.6,2140,100.0,1013,47.3,1127,52.7,53,2.5
202,1400000US51059451900,33.6,6144,100.0,3159,51.4,2985,48.6,1044,17.0
203,,,,,,,,,,
204,,,,,,,,,,
205,,,,,,,,,,
206,1400000US51059460200,41.9,4030,100.0,2010,49.9,2020,50.1,49,1.2
