OBJECTID,GEO.id,acs_ssm,acs_ssmf,acs_ssf,acs_sso
542,1400000US51059482002,0,0,0,1732
543,1400000US24031700105,0,16,0,2025
544,1400000US24031700304,12,49,14,2417
545,1400000US24031700607,31,43,0,2430
546,1400000US24031700611,0,58,8,1563
547,1400000US24031700710,0,109,0,1970
548,1400000US24031700718,9,0,0,1748
549,1400000US24031700723,0,27,0,1911
550,1400000US24031700815,0,60,0,2511
551,1400000US24031700820,0,10,0,969
552,1400000US24031700824,0,35,0,1017
553,1400000US24033803001,13,27,4,907
554,1400000US24033803002,0,13,13,1051
555,1400000US24033803100,0,56,0,853
556,1400000US24033803200,0,68,15,963
557,1400000US24033803512,0,47,0,2237
558,1400000US24033803519,0,6,10,1184
559,1400000US24033803525,0,133,16,961
560,1400000US24033803613,0,24,0,1912
561,1400000US24033804001,0,106,0,1899
562,1400000US24033804400,3,30,9,733
563,1400000US24033804900,10,31,3,1298
564,1400000US24033805601,9,123,0,1304
565,1400000US24033805904,0,62,0,865
566,1400000US24033806200,5,12,5,1510
567,1400000US24033806602,0,72,0,1237
568,1400000US24033806712,0,47,9,1166
569,1400000US24033807304,0,0,0,594
570,1400000US24031700826,7,17,18,2640
571,1400000US24031700828,0,31,0,850
572,1400000US24031700829,17,11,0,1147
573,1400000US24031700830,0,50,4,697
574,1400000US24031700901,0,0,0,1680
575,1400000US24031701002,0,29,6,1187
576,1400000US24031701102,0,50,11,1968
577,1400000US24031701210,11,4,8,1358
578,1400000US24031701215,0,59,0,2422
579,1400000US24031701304,9,13,0,1980
580,1400000US24031701313,0,8,14,1242
581,1400000US24031701409,0,0,11,1377
582,1400000US24031701422,0,16,0,785
583,1400000US24031701508,0,27,0,1541
584,1400000US24031701601,0,53,0,700
585,1400000US24031701900,38,64,0,1106
586,1400000US24031702102,14,0,32,962
587,1400000US24031702500,0,152,0,2244
588,1400000US24031703201,0,40,0,2317
589,1400000US24031703209,23,0,31,1981
590,1400000US24031703218,13,0,0,1271
591,1400000US24031703301,0,40,7,1186
592,1400000US24031703402,0,21,11,974
593,1400000US24031703602,0,19,0,1020
594,1400000US24031703902,13,46,33,2443
595,1400000US24031704403,0,12,0,1001
596,1400000US24031704804,0,0,0,691
597,1400000US24031705300,0,0,4,668
598,1400000US24031705601,0,17,0,1000
599,1400000US24031705602,0,65,0,2713
600,1400000US24031705701,0,24,0,1612
601,1400000US24031705901,0,20,11,1408
602,1400000US24031706011,0,13,0,1741
603,1400000US24033800106,7,15,0,1040
604,1400000US24033800209,0,48,0,1563
605,1400000US24033800214,0,0,0,1048
606,1400000US24033800408,0,26,10,2024
607,1400000US24033800413,0,0,0,1317
608,1400000US24033800514,0,0,0,1168
609,1400000US24033800519,0,0,0,1373
610,1400000US24033800704,0,28,20,1741
611,1400000US24033801005,0,94,15,1224
612,1400000US24033801006,0,0,0,1258
613,1400000US24033801209,0,97,0,1320
614,1400000US24033801216,0,0,0,1232
615,1400000US24033801308,0,25,0,1218
616,1400000US24033801313,0,0,0,958
617,1400000US24033801409,0,55,0,1024
618,1400000US24033801702,11,36,0,1546
619,1400000US24033801801,0,0,0,851
620,1400000US24033801805,0,18,9,1010
621,1400000US24033802104,18,52,0,758
622,1400000US24033802203,0,49,0,1555
623,1400000US24033802406,0,35,0,832
624,1400000US24033802600,13,63,0,957
625,1400000US24031700308,0,13,0,2290
626,1400000US24031700309,10,50,8,1862
627,1400000US24031700310,7,108,0,2058
628,1400000US24031700311,0,13,0,1705
629,1400000US24031700312,6,26,8,1485
630,1400000US24031700400,0,0,8,823
631,1400000US24031700500,0,16,0,2057
632,1400000US24031700604,9,70,16,2045
633,1400000US24031700606,0,0,12,1461
634,1400000US24031700608,0,27,0,1804
635,1400000US24031700610,0,0,0,657
636,1400000US24031700613,0,72,16,1868
637,1400000US24031700614,13,140,6,1959
638,1400000US24031700615,0,0,0,1008
639,1400000US24031700616,0,0,28,1435
640,1400000US24031700704,0,56,0,970
641,1400000US24031700706,0,90,18,1183
642,1400000US24031700711,0,61,13,1826
643,1400000US24031700713,0,158,0,1702
644,1400000US24031700715,0,52,0,1647
645,1400000US24031700716,0,11,23,2569
646,1400000US24031700717,0,161,12,1911
647,1400000US24031700719,0,86,0,2006
648,1400000US24031700720,0,47,0,1097
649,1400000US24031700721,0,0,0,1296
650,1400000US24031700722,11,74,0,1587
651,1400000US24031700724,0,136,0,991
652,1400000US24031700810,9,39,0,1658
