GEO.id,HC03_VC73,HC03_EST_VC01,AIDS_Cases
24033800214,63.6,6.2,
24033800215,68.9,2.6,
24033800401,19.9,6.5,
24033800402,21,0.2,
24033800403,38.9,1.6,
24033800408,70.3,3,
24033800409,54.5,1.7,
24033800410,60.2,2.2,
24033800411,67.1,5.2,
24033800412,65.3,7.1,
24033800413,76.8,8.2,
24033800504,20.1,5.3,
24033800505,17.4,8.6,
24033800507,59.2,2.3,
24033800509,95.4,3.1,
24033800511,59.5,2.5,
24033800513,40.4,3.2,
24033800514,75.2,2.9,
24033800515,59.5,7.4,
24033800516,50.2,6.2,
24033800517,90.9,1.2,
24033800518,84.7,1.2,
24033800519,55.5,2.3,
24033800520,79,2.1,
24033800601,87.7,5.1,
24033800604,93.1,5.6,
24033800605,85.8,3.8,
24033800606,87,4,
24033800607,84.9,1.7,
24033800608,93.6,2,
24033800701,85.9,0.4,
24033800704,79.2,2.4,
24033800705,83.9,1,
24033800706,88,0.8,
24033800707,78.8,8.8,
24033800800,31.4,3.1,
24033800900,49.1,4.3,
24033801003,65,3.4,
24033801004,73.6,1.4,
24033801005,83.1,0.8,
24033801006,82.3,2.9,
24033801104,22,0,
24033801207,77,2.4,
24033801208,80.6,0,
24033801209,88.4,6.3,
24033801210,84.8,1.1,
24033801211,82.3,4.3,
24033801212,81.3,2.9,
24033801213,81,5.9,
24033801214,69.8,5.1,
24033801215,80,1.3,
24033801216,73.4,4.7,
24033801217,84.1,2.6,
24033801302,50.2,1.6,
24033801305,73.7,0.8,
24033801307,79.9,1.5,
24033801308,86,2,
24033801309,64.5,2.5,
24033801310,80.1,0.5,
24033801311,81.3,5.7,
24033801312,74.3,14.5,
24033801313,91.3,0.4,
24033801404,70.3,6,
24033801405,43.9,6.1,
24033801406,83.2,24.3,
24033801407,91.5,5.1,
24033801408,88.6,3.7,
24033801409,68.7,1.1,
24033801410,67.3,1.7,
24033801411,56.4,2.3,
24033801500,72.5,4.1,
24033801600,93.6,9.8,
24033801701,91.4,9.9,
24033801702,91.5,18.4,
24033801704,93.5,11.5,
24033801706,82,10.2,
24033801707,90.8,12.9,
24033801708,89.7,4.2,
24033801801,91.4,8.9,
24033801802,98.4,4.8,
24033801804,85.2,14.2,
24033801805,93.7,1.4,
24033801807,95.5,10.9,
24033801808,89.5,7.3,
24033801901,80.5,5.2,
24033801904,67.6,6.3,
24033801905,81.6,3.3,
24033801906,74.9,9.6,
24033801907,92.3,9.7,
24033801908,98.4,2.2,
24033802001,85.6,3.3,
24033802002,96.6,3.3,
24033802103,86.3,1,
24033802104,89.7,2,
24033802106,97.4,12.5,
24033802107,98.4,8.4,
24033802201,74.8,8.2,
24033802203,88.5,4.7,
24033802204,91.5,3.9,
24033802301,88.6,3.8,
24033802404,94.1,18.8,
24033802405,93.9,8.1,
24033802406,87.8,9.9,
24033802407,91.3,15.1,
24033802408,87.5,22,
24033802501,91.9,7.5,
24033802502,81.7,7.9,
24033802600,91.1,4.9,
24033802700,88.7,7,
24033802803,91.6,12.5,
24033802804,97.8,6,
24033802805,95.6,17.1,
24033802901,92.9,19.4,
24033803001,85.1,7,
24033803002,98.9,8.4,
24033803100,92.5,15.6,
24033803200,98.4,16.2,
24033803300,89.4,10.2,
24033803401,87.8,13.5,
24033803402,93.6,16.6,
24033803508,89,31.8,
24033803509,95.1,9.5,
24033803512,90.3,2.2,
24033803513,92,3.8,
24033803514,96.9,6.6,
24033803516,84.8,1.6,
24033803519,91,5.8,
24033803520,90.1,0.5,
24033803521,84.6,3.2,
24033803522,92.8,2.6,
24033803523,81.2,3.9,
24033803524,94.5,0.8,
24033803525,82.4,13.1,
24033803526,93.1,3.7,
24033803527,93,2.2,
24033803601,89.8,4.3,
