OBJECTID,GEO.id,acs_lf,dec_lfp,acs_em,acs_emp_x,acs_emp_y,acs_ue,acs_uep,acs_nw,acs_nwp,acs_flf,acs_flfp
415,1400000US51059481900,1508,0.0,2997,73.4,73.4,35,0.9,283,25.7,2123,2123
416,1400000US51059482001,1215,1.2,2468,68.6,68.6,161,4.5,311,25.7,1823,1823
417,1400000US51059482100,865,0.0,1712,73.1,73.1,89,3.8,103,23.1,1191,1191
418,1400000US51059482201,532,0.0,1092,66.5,66.5,14,0.9,13,32.6,981,981
419,1400000US51059482202,956,0.4,1962,68.2,68.2,99,3.4,136,27.9,1444,1444
420,1400000US51059482203,1026,0.4,2225,69.7,69.7,59,1.8,308,28.0,1670,1670
421,1400000US51059482302,1355,0.2,2392,69.2,69.2,600,17.4,245,13.3,1581,1581
422,1400000US51059482303,1050,0.0,1996,74.8,74.8,60,2.2,160,23.0,1477,1477
423,1400000US51059482400,558,0.0,1153,69.6,69.6,19,1.1,96,29.3,870,870
424,1400000US51059482501,1832,1.0,3687,78.5,78.5,45,1.0,550,19.5,2402,2402
425,1400000US51059482503,1334,0.5,2681,77.4,77.4,95,2.7,310,19.4,1840,1840
426,1400000US51059482504,1371,0.4,2993,74.7,74.7,46,1.1,324,23.8,1984,1984
427,1400000US51059482601,1885,0.8,4117,76.0,76.0,24,0.4,514,22.8,2687,2687
428,1400000US51059482602,1849,0.4,3609,73.3,73.3,98,2.0,396,24.3,2710,2710
429,1400000US51059490101,1499,1.5,2804,68.9,68.9,188,4.6,461,25.0,2156,2156
430,1400000US51059490103,1333,0.0,2697,69.7,69.7,119,3.1,370,27.2,1835,1835
431,1400000US51059490502,1773,0.3,3228,67.0,67.0,160,3.3,359,29.3,2582,2582
432,1400000US51059491000,456,0.8,1008,69.7,69.7,29,2.0,84,27.5,735,735
433,1400000US51059491101,976,2.9,2031,71.1,71.1,55,1.9,428,24.1,1483,1483
434,1400000US51059491102,1191,0.0,2066,73.9,73.9,143,5.1,229,21.0,1482,1482
435,1400000US51059491201,1875,1.3,3541,79.4,79.4,145,3.3,302,16.0,2421,2421
436,1400000US51059491301,2196,0.3,4074,77.5,77.5,317,6.0,316,16.2,2773,2773
437,1400000US51059491302,927,1.1,1908,67.4,67.4,56,2.0,349,29.5,1585,1585
438,1400000US51059491303,973,0.3,2273,77.0,77.0,170,5.8,90,17.0,1277,1277
439,1400000US51059491402,1287,3.0,2425,76.2,76.2,68,2.1,235,18.7,1601,1601
440,1400000US51059491403,1190,0.9,2380,79.7,79.7,35,1.2,198,18.3,1520,1520
441,1400000US51059491404,1083,2.6,2126,72.4,72.4,69,2.3,281,22.7,1623,1623
442,1400000US51059491405,690,1.9,1390,62.3,62.3,147,6.6,265,29.2,1041,1041
443,1400000US51059491502,1528,1.1,3338,64.8,64.8,149,2.9,371,31.2,2589,2589
444,1400000US51059491601,1487,0.2,2743,78.3,78.3,94,2.7,280,18.8,1979,1979
445,1400000US51059491602,1463,0.0,3093,72.2,72.2,132,3.1,205,24.7,2081,2081
446,1400000US51059491701,1271,0.5,2265,84.6,84.6,73,2.7,273,12.2,1465,1465
447,1400000US51059491702,2283,1.0,4468,78.6,78.6,148,2.6,409,17.8,2965,2965
448,1400000US51059491704,1342,1.0,2716,81.3,81.3,61,1.8,279,15.9,1820,1820
449,1400000US51059491705,769,0.0,1673,64.4,64.4,40,1.5,118,34.0,1393,1393
450,1400000US51059491802,678,0.0,1399,66.9,66.9,50,2.4,247,30.7,1082,1082
451,1400000US51059491803,1735,0.0,3951,73.6,73.6,134,2.5,534,23.9,2696,2696
452,1400000US51059492000,1440,0.5,3035,58.1,58.1,214,4.1,337,37.2,2656,2656
453,1400000US51059492100,1665,1.7,3417,63.5,63.5,158,2.9,456,31.8,2724,2724
454,1400000US51059492201,660,0.0,1307,62.6,62.6,21,1.0,117,36.4,1118,1118
455,1400000US51059492203,897,1.4,1866,60.9,60.9,87,2.8,189,34.9,1529,1529
456,1400000US51059492300,961,1.8,2003,75.9,75.9,119,4.5,303,17.8,1271,1271
457,1400000US51059492400,1494,4.0,2912,76.2,76.2,210,5.5,362,14.3,1950,1950
458,1400000US51059492500,965,0.3,2083,64.5,64.5,77,2.4,271,32.8,1633,1633
459,1400000US51059980200,0,-,0,-,-,0,-,0,-,0,0
460,1400000US51059980300,0,-,0,-,-,0,-,0,-,0,0
461,1400000US51013100200,1477,0.2,3143,71.7,71.7,23,0.5,405,27.5,2297,2297
462,1400000US51013100300,1471,1.3,2819,58.9,58.9,205,4.3,246,35.6,2496,2496
463,1400000US51013100500,1156,0.3,2525,72.2,72.2,59,1.7,192,25.8,1721,1721
464,1400000US51013100600,930,0.2,1687,65.8,65.8,78,3.0,148,30.9,1429,1429
465,1400000US51013100700,1625,1.0,2997,75.5,75.5,124,3.1,219,20.4,2211,2211
466,1400000US51013100900,1298,0.6,2217,68.5,68.5,96,3.0,174,28.0,1786,1786
467,1400000US51013101000,927,0.5,1715,71.0,71.0,59,2.4,325,26.1,1313,1313
468,1400000US51013101100,1536,1.0,3039,74.4,74.4,26,0.6,334,24.0,2224,2224
469,1400000US51013101200,989,0.9,1896,71.2,71.2,63,2.4,193,25.6,1426,1426
470,1400000US51013101300,1516,1.8,3690,76.5,76.5,185,3.8,273,17.8,2158,2158
471,1400000US51013101402,1020,0.0,2016,83.5,83.5,0,0.0,22,16.5,1258,1258
472,1400000US51013101403,1793,1.4,4014,80.9,80.9,39,0.8,130,16.9,2332,2332
473,1400000US51013101404,1307,1.1,2359,70.7,70.7,121,3.6,95,24.5,1735,1735
474,1400000US51013101500,2750,2.4,5112,79.5,79.5,159,2.5,235,15.7,3412,3412
