GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Unmarried-partner households:,Margin of Error; Unmarried-partner households:,Estimate; Unmarried-partner households: - Male householder and male partner,Margin of Error; Unmarried-partner households: - Male householder and male partner,Estimate; Unmarried-partner households: - Male householder and female partner,Margin of Error; Unmarried-partner households: - Male householder and female partner,Estimate; Unmarried-partner households: - Female householder and female partner,Margin of Error; Unmarried-partner households: - Female householder and female partner,Estimate; Unmarried-partner households: - Female householder and male partner,Margin of Error; Unmarried-partner households: - Female householder and male partner,Estimate; All other households,Margin of Error; All other households
1400000US11001008904,11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",1529,136,137,71,0,12,88,65,7,10,42,29,1392,148
1400000US11001009000,11001009000,"Census Tract 90, District of Columbia, District of Columbia",1707,88,31,49,0,12,31,49,0,12,0,12,1676,99
1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",1757,106,218,102,0,17,83,51,9,15,126,83,1539,142
1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",554,69,64,39,0,12,39,30,16,26,9,13,490,76
1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",1031,103,53,59,7,11,0,12,8,15,38,57,978,128
1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",1366,69,126,76,0,12,96,73,0,12,30,29,1240,103
1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",1234,46,35,54,0,12,0,12,0,12,35,54,1199,65
1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",435,63,19,20,1,3,0,12,0,12,18,20,416,72
1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",1647,104,92,51,52,44,18,21,10,15,12,18,1555,111
1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",1746,119,136,84,9,14,58,65,0,17,69,54,1610,150
1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",1220,62,29,33,0,12,0,12,8,15,21,29,1191,73
1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",1218,97,28,25,14,16,8,14,6,13,0,12,1190,100
