GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07
Id,Id2,Geography,Total:,Unmarried-partner households:,Unmarried-partner households: - Male householder and male partner,Unmarried-partner households: - Male householder and female partner,Unmarried-partner households: - Female householder and female partner,Unmarried-partner households: - Female householder and male partner,All other households
1400000US24031700713,24031700713,"Census Tract 7007.13, Montgomery County, Maryland",2027,157,0,54,27,76,1870
1400000US24031700714,24031700714,"Census Tract 7007.14, Montgomery County, Maryland",3031,157,11,114,0,32,2874
1400000US24031700715,24031700715,"Census Tract 7007.15, Montgomery County, Maryland",1732,89,0,12,5,72,1643
1400000US24031700716,24031700716,"Census Tract 7007.16, Montgomery County, Maryland",2494,135,0,67,0,68,2359
1400000US24031700805,24031700805,"Census Tract 7008.05, Montgomery County, Maryland",2900,147,5,57,10,75,2753
1400000US24031700806,24031700806,"Census Tract 7008.06, Montgomery County, Maryland",3509,124,17,53,9,45,3385
1400000US24031700808,24031700808,"Census Tract 7008.08, Montgomery County, Maryland",2769,197,8,76,33,80,2572
1400000US24031700809,24031700809,"Census Tract 7008.09, Montgomery County, Maryland",2832,89,0,43,8,38,2743
1400000US24031700810,24031700810,"Census Tract 7008.10, Montgomery County, Maryland",1733,95,15,38,21,21,1638
1400000US24031700811,24031700811,"Census Tract 7008.11, Montgomery County, Maryland",1285,53,0,23,0,30,1232
1400000US24031700812,24031700812,"Census Tract 7008.12, Montgomery County, Maryland",1716,48,0,23,5,20,1668
1400000US24031700813,24031700813,"Census Tract 7008.13, Montgomery County, Maryland",2004,98,8,27,6,57,1906
1400000US24031700815,24031700815,"Census Tract 7008.15, Montgomery County, Maryland",2176,195,17,72,6,100,1981
1400000US24031700816,24031700816,"Census Tract 7008.16, Montgomery County, Maryland",2694,171,0,80,21,70,2523
1400000US24031700817,24031700817,"Census Tract 7008.17, Montgomery County, Maryland",2052,121,0,64,6,51,1931
1400000US24031700818,24031700818,"Census Tract 7008.18, Montgomery County, Maryland",2518,131,0,26,16,89,2387
1400000US24031700819,24031700819,"Census Tract 7008.19, Montgomery County, Maryland",2271,136,0,84,0,52,2135
1400000US24031700901,24031700901,"Census Tract 7009.01, Montgomery County, Maryland",1390,42,3,28,5,6,1348
1400000US24031700902,24031700902,"Census Tract 7009.02, Montgomery County, Maryland",1199,50,4,22,0,24,1149
1400000US24031700903,24031700903,"Census Tract 7009.03, Montgomery County, Maryland",689,32,0,27,0,5,657
1400000US24031700904,24031700904,"Census Tract 7009.04, Montgomery County, Maryland",830,7,0,7,0,0,823
1400000US24031700905,24031700905,"Census Tract 7009.05, Montgomery County, Maryland",1657,0,0,0,0,0,1657
1400000US24031701001,24031701001,"Census Tract 7010.01, Montgomery County, Maryland",1975,91,0,42,13,36,1884
1400000US24031701002,24031701002,"Census Tract 7010.02, Montgomery County, Maryland",1036,15,5,6,0,4,1021
1400000US24031701003,24031701003,"Census Tract 7010.03, Montgomery County, Maryland",1882,35,5,5,0,25,1847
1400000US24031701004,24031701004,"Census Tract 7010.04, Montgomery County, Maryland",1904,72,4,29,5,34,1832
1400000US24031701005,24031701005,"Census Tract 7010.05, Montgomery County, Maryland",957,19,0,14,5,0,938
1400000US24031701101,24031701101,"Census Tract 7011.01, Montgomery County, Maryland",1521,59,0,17,0,42,1462
1400000US24031701102,24031701102,"Census Tract 7011.02, Montgomery County, Maryland",1944,93,6,41,18,28,1851
1400000US24031701201,24031701201,"Census Tract 7012.01, Montgomery County, Maryland",2274,87,0,15,12,60,2187
1400000US24031701202,24031701202,"Census Tract 7012.02, Montgomery County, Maryland",1013,23,7,6,3,7,990
